cleaned_comment,label
lhaa iyaa kenapa masih di pertahankan mentri kyk gitu dan pertamina yg korup gk di bubarkan,1
malah nyalahin pertamina kocak,0
tangkap aja copot jabatannya,1
bahlil bahlul beda tipis,1
gara gara sering liat meme bahlil gua setiap liat muka bahlil ketawa mulu,0
gak ada beda nya sih kak bahlil sama dengan bahlul artinya gu0blokk,1
keknya dulu nama aslinya bahlul cuma waktu penulisan di akta kelahiran si petugasnya typo jadinya ditulis bahlil nah karna udah males ngurus pembetulan jadinya dibiarin aja deh namanya jadi bahlil,1
bahlil emang dongo yahh,1
lah ini udah jelek t0lol lagi,1
nah ini nih bru aj mo bilang wkwkwk,0
perokok berat mas makanya hitam sangat,1
jelek tolol bego hidup lagi,1
rasis lu anj kek udh pada sempurna aja lu padahal tuhan telah menciptakan manusia dengan kekurangan dan kelebihan,0
masalahnya dia sudah diciptakan kekurangan malah sifatnya kek binatang ngak membantu masyarakat,1
masalah nya si bahlil ini udh di kasih kekurangan malah di kurang ngin,1
sdm rendah nyusahin rakyat kalau pinter ngomong doang adek gw juga bisa,1
emang kelebihannya bahlil apa gw tanya penasaran gw,0
tapi kalo ini kekurangan semua ga ada kelebihan,1
kalo soal ini gw dukung kalo bahlil lebih ganteng dari henry cavill,0
emang dia cerdas,1
dia kalo gaa cerdas gaa bakal masuk partai dek dek,0
kata siapa masuk perusahaan aja pake orang dalem apalagi masuk partai,0
kek tetangga whoopp gua lamar sana sni ga dpt tetangga gua tinggal blg doang interview formalitas,1
tapi itu butuh kecerdasan bicara membaca suasa klk dia gk pinter mna bisa masuk walupun pakai orang dalam itu butuh kecerdasan jg,0
pinter membodohi rakyat faktanya dilapangan gd uang sama orang dalem meskipun lu pinter gk bakal guna orang nilai aja bisa di beli kocak jgn samakan logika sekolahmu dgn dunia luar bergaul bro dunia luar kejam gk sebagus expetasimu,1
udah jelek goblok lagi,1
otak nya di kontol,1
tenangin diri sekarang,0
bahlil ini punya kelebihan yang cukup menarik apapun fotonya di crop dikit bisa jadi meme,0
liat mukanya mau muntah,1
masa iyaa papa emil mau sama modelan bgini ngakak guaaa,1
kata aku mah mundur aja liiiss perbaiki diri upgrade diri masa lalu lupain ajaaa kebenaran tu akam terungkap seiring berjalannya waktu,0
betul ih bnyak yg singel mom malah sukses2 aja padahal dia udah mulai di sukai netizen eh malah berulah lagi,0
maaf aku malah salfok hidungnya hee,1
makanya jangan rekam di otak kak,1
itu idungnya belok kanan ya,1
hidungnya lisaa plisss,1
bisa aja hasil dna nya dipalsuin wkwk jaman skrng kalo punya duit apa aja bisa dipalsuin kan,0
bedak 7 lapis,1
gak kelar2 kasus ini,0
aku malah kasihan sm anaknya klo lihat berita ini nanti,0
alis nya ko bisa bagus bgt gt anjirrrr,0
dia nangis knp aku juga ikut tidak nangis apakah aku harus pura2 nangis,0
hidung sama mulutnya,1
alaaaaa anak d luar nika ko ngotot banget,1
halunya ga kelar2,1
kenapa idungnya manggil manggil minta ditanya si,1
gemes banget sama hidungnya,1
yaudasi gausah kemana2 toh itu salahnya sendiri kenapa mauuu dan kalaupun emang anaknya toh juga gabisa dinasabkan ke bapak nyaaa dan juga gaberhak dapat nafkah sesuai hukum agama,0
tidak ada perjanjian tdk ada pernikahan ngotot tes dna ulang lalu mau ngapain andaikan itu anak rk mau nuntut apa hak yg mana,0
harus nya cek daftar pengunjung mom siapa aja langganan nya,1
aktingx bguss,0
anaknya bram kali brame rame,1
aku malah merasa engap denger yg lg ngomong,1
di konoha nglawan pejabat ya emang susah,0
kaya majikan sm pembantunya wkwkwk,1
kak hitam bagus tp ga kumel,1
tan skin engga masalah sama sekali tp ada yg bersih ada yg kurang bersih,1
komenn nya kenapa sii yaampunn kulit orang indo ma emang ginii ih ngapa pada ngebet putih sii yg putih aja ada yg pengen tan skin,0
minimal gincuan kak biar agak seger gtu diliatnya,1
kenapa sih anjir kalau warna kulitanya gtu semua nya tetap cantik njir nggak usah obses sama kulit putih,0
komen nya nggak bngt njir padahal sesama perempuan,0
circle problemmatic,1
hahahahhaha itu bukan kayak kulit erika kalau kulit erika hitam tapi bagus kalau ini sedikit ya tau lah ya,1
ini kulit yg aku mauuuuuuuuu,0
manis bgtt kaa masya allah,0
kak cakep banget aslii,0
semua wanita cantik dengan warna kulitnya masing masing so beautiful ka namira,0
banyak artis indonesia kulitnya exsotis mulus muka pun mulus,0
cantikkk ngga haruss putihh,0
kakak cantik gak usah dengar kata netizen ini,0
dia tu kaya kusemm gt ga si bukan tan skin,0
masyaallah canciknyaa manisnya itu loh,0
cantikkkk bangetttttt,0
cantikkkk bgt dua dua nyaa,0
inimah kopi sama susu,1
chacu cosplay jadi wanita somalia,1
ga keluar sama sekali auranya,1
dia lagi hamil ya bertanya dengan nadaaa sangat lembuutt,1
ini serius dia kok kokkkk cantikan kenzie,1
baru pernah liat orang resepsi seleranya kureng bgt maap,1
liat komenannyaaaa miris bgt kak chachu tuh lagi ngadain acara bahagia semua pasti sudah dipersiapkan mlh ada yg banding in kalian tuh sesama perempuan klo pas acara seperti ini kalian dicemooh juga keselkan apalagi ini momen acara resepsi beliau,0
malah kayak tamu undangan bukan pengantin,1
kirain chacu dililit ular weling,1
pdhl body chacu bgus bgttt tpi knpa gaunnya harus ituu,1
jujur emg ke bude bude,1
keknya dia ini lagi hamill,1
serius gini diluar ekpetasi,1
maaf kayaknya hamil ya aura bumil,1
kurang aksesoris sama model rambutnya sih menurutku bajunya terlalu ramai buat dia yg gemoy,1
aura bumil nya kuat bgt pengalaman tmnku nikah dressnya rame bagian depan bgini karna udh hamil besar,1
chacu kayak abang abangan keker bgt,1
cakepan bridesmaid nya maaf aku mewakilin kalian semua,1
kayak mau dangdutan,1
aku ga ngehujat plis tapi keliatan bgt ga nyamannya kasian kak chacu,0
aku jdi chacu nangis bgt jujur emg ke bude bude,1
jahat jahat bgt ketikan kalian plis ya allahhhh aku bacanya aja istighfar berkali,0
engga ada tampang sedih dn menyesal beda sama si logo dufan smpe bengkak matanya,1
do teman saja di bully apalagi pasien bpjs,1
salut sm yg cepuin isi chat ke media,0
sempet sempetnya ngalis dulu anj,1
belum tentu keluarga kak timothy anugerah memaafkan muu,0
tanpa kita sadari skrg kita yg menjadi pembully,0
hak apa yang melekat ke kamu kok bisa jadi yang ngasih pelajaran,0
asal ngebales bully nya ga senang ya ttp aja faktanya sama sifat neti nanti kebawa jg ke lingkungan trs ada masih bnyk tuh nanti pembully kedepannya ga habis,0
karena apa dia minta maaf guys,0
rakyat indonesia dan netizen wajib untuk tidak memaafkan calista amore kawal sampe dia dpt efek jera yg setimpal,1
lu baca ya anjir soalnya gue pernah di tes hapalan gue bikin contekan belakang kamera kek gini hasilnya,1
full senyum habis wd 55jt bilekk,0
lah ngapain minta maaf kan dia gak salah,0
blm jadi dokter aja udh gini gimana udh jadi dokter gimana nasib pasiennya coba,1
ga ada menyesal2 sii dari raut mukanya,1
ini apa ketinggalan berita gua,0
kasus perundungan di unud om,0
dia cuman baca teks bukan minta maaf,1
menyesal karena ketauan kalau ga ketauan ya lanjut buly sekarang aja pasti masih ngebully mungkin sama temen nya,1
dia itu cuma sedih dirinya di hujat bukan sedih akan timoty dia juga menyesal kerena kerena di hujat bukan kerena menghujat timoty,0
alisnya beda sebelah jir,1
cantikk bangett semangat kaka,0
dia klarifikasi karena takut kena bully gak dapet kerja dan dikeluarkan dari kampus bukan betulan menyesal,1
dia menangis bukan kerana empati tapi takut di blaklist dari dunia kedokteran,1
jgn minta maaf jika km minta maaf karna ketahuan,1
mau klarifikasi pun harus dandan dlu tau bgt kayaknya dia biar g di jadiin bahan candaan wkwkk,1
aku kira kuliah itu menjamin moral dan etika ternyata ada ya yang begini calon dokter lagi,0
gua yang udah muak dengan namanya klarifikasi,0
emang timothy ronald ada masalah apa ya sama cewe ini,0
harusnya dibawa ke hukum ini bahwa tindak bully itu gaboleh diremehin apalagi banyak jiwa yang trauma,0
gw jg manurung asli malu marah bget atas sikap bocah tengil bgini,0
takut sama kekuatan netijen yaa makanya langsung nongol,0
kalo timothy jadi dokter pasti lembut tulus bgtt,0
benar kata orang penyelesaian ada di akhir,0
nah loh giliran datanya kesebar baru deh buka mata,1
yang bully timothy beruntung banget ayah timothy ga nuntut dihukum lo smoga tenangg kaka timothy,0
gak papa nanti ada pengadilan di akhirat guys,0
alesan mereka apa ya bully timoty pdhl beda fakultas loh,0
aku juga korban pembulian gays di kuliah nyampe aku kena anxiety aku berharap tuhan yg adili semua,0
udah lah maafin aja calon dokter cantik nih,0
gada komen tebak agama soalnya pelaku bukan islam,1
minta maaf yg tulus utama kpd orangtua dn kluarga timothy bukn krna tkut dihujat netizen situ enak ga dibully bnyk orang,0
manusia tidak akan saling mengerti jika tidak merasakan penderitaan yang sama rest in peace timothy,0
ini harus dijadikan pelajaran buat smua sampe saat ini kematian timothy blm jls karna apa pihak keluarga juga menolak dilakukan penyelidikan dari hp timothy dan yg tersebar adalah chat para mahasiswa yg minim empati supaya ga keliru saja tapi kasus ini butuh penyelidikan lbh dalam dan bukti dari hp korban kita butuh keterbukaan dari pihak keluarga terutama sdh 3 bln terakhri timothy tinggal ditemani ibunda tidak mungkij ibunya tidak mengetahui apa masalah yg anaknya dapati,0
biasanya klo berita2 bgini banyak yg komen tebak agama kok kosong ya skrg,1
perasaan setiap hari buka tiktok ga ngertti ada kasus ini emg kasus apa ya bertanya dgn nada lembut,0
kesalahan terbesarmu adalah kini yg kamu hujat sdh tak bernyawa nak dan entah bagaimana dgn hati orang tua keluarga yg telah kamu buat hancur utk seumur hidup,0
keluarga manurung kah,0
mana sama lagi marga nya sama guee,0
pdhal timothy baik,0
loh kenpa nggak langsung di pecat,1
saya yakin krn mas uya kuya orang baik saya sbg tkw taiwan sering melihat bolak balik taiwan indonesia hongkong indonesia untuk membantu para tkw,0
pecatttt woyyyyy bukan di nonaktifkan astaghfirullah hukum di negara gak dapat di percaya lagi,1
muka eko bengek bgt,1
kek stroke anjir,1
iya baner anjir kata gue dikit lagi stroke nih org,1
itulah indonesia krj cm duduk teken plng gaji tunjangan besar ya moh kla mengundurkan diri,0
krn mereka ada perjanjian tertulis dgn partai dan hanya ketua partai yg pecat org2 tsb mk indonesia mgkin kerja di bawah tekanan ketua partai,0
kalo cuman nonaktif berapa bulan ya gk ada apa2 nya tabungannya masih banyak,1
pecat aja pk gk guna ngabisin anggaran negara aja nnti psti ngulangin lg,1
idak puas atas putusan ini harusnya mereka non activ selama nya,1
nafa urbach brrt bulan depan sdah mulai aktif lg jd dewan untuk eko awal tahun dn sahroni hbs lebaran,0
ko kaga joget joget lagi ko ama nafa ama sahroni,1
anjj mata ngantuk sahroni,1
tdk di pecat cuma di non aktifkan selama 6 bln trs bisa ngantor lagi ini lah hukum indonesia,0
hakimnya menye menye,1
itu kenapa bibir pak eko,1
liat sahroni ingat heeeeehaaa,1
alhamdulillah smoga bisa mmbuka mata bgi merka ni kmi mmilih bukn mnjdi orng bodh tpi lebih pintar,0
nafa urbach gk bersalah dia cuma ngasih tau informasi tunjangan rumah tdk ada merendahkan rakyat kayak yg lainnya,0
podcast bisa tapi konferensi pers buat minta maaf gabisa ya pak,1
sampe sekarang saya ga tau ketum federasi brazil wlopun juara pildun berkali kali,0
karakter pemimpin juga perlu dibentuk misal jangan egois tidak anti kritik dan mengakui kesalahan,0
cinta tanah air sama pura pura mau jadi pahlawan ituu beda ga sih pa bertanya dengan penuh keikhlasan,1
bacot towel,1
berisik,1
halahhhh ngibull,1
sekarang denger erik pidato telinga tersiksa,1
pak gimana tuntutan supporter apa kabar,0
kalau di suruh ngomong pinter ngambil keputusan 0 besar,1
terlalu banyak kata2 hasil merusakan,1
harus berani legowo dan mental ksatria,0
lelaki tidak banyak bercerita lelaki itu yg di pegang omongan nya,0
harus berani ngundurkan diri ya pak,0
harus berani bertanggung jawab atas ucapan juga,0
teori bullshit,1
luar biasa,0
harus berani bertanggung jawab dan minta maaf kepada rakyat,0
bacooot,1
hidup itu tidak harus tenar tp bagaimana kerja nyata kita itu bisa di lihat baik oleh rakyat tp sayang kamu cuma ingin mencari ketenaran dari pada kebanggaan,1
iya perubahan contoh nya kayak kemarin kan yahh udah bagus timnas udah naik dirubah biar lebih buruk ga boleh bagus bagud timnas indo yah erik,1
semangat pak netizen dan para fomo yg bersuara sumbang gak mewakili masyarakat yg mengapresiasi kinerja bapak gak tahu mungkin suruhan orang internal pssi yg ngebet gantikan bapak tetap tegar dan kita songsong hari2 baik olahraga dan sepakbola nasional ke depan,0
terimakasih pak salut anda sangat gentleman,0
indonesia negara besar pak,0
belajar tidak nyinyir ke orang lain ataupun timnas dll belajar menghargai tunjukkan prestasimu,0
perubahanmu menghancurkan mimpi itu,1
banyak yang udah gak peduli omongan mu pak kecuali anak buah mu sendiri,1
lucu lama lama,1
di kasih princess malah pilih ikan teri,1
produk kendal apa produk gagal,1
gatau ya sejauh ini mata memandang dan menurutku juga kenapa yg jadi selingkuhan selalu ga lebih cakep dr istri sah si,1
bener kata orang orang kalau istri sah lebih cantik dari pada selingkuhanya,0
dilan mangap aja cantik lah ini,1
udah di bilang kemarin kebanyakan pakai filter kok ngga percaya,1
selayaknya tkw pada umumnya,1
bagaikan langit dan bumi,0
keren banget jadi bang safnoviart,0
jika kau tak bisa menghargai perempuan setidaknya belajarlah menghargai dirimu sendiri,0
jago bgt aktingnya,1
katakan pretttttttttt,0
blacklist kampus udayana,1
markas perundungan,1
banyak para pembullyan di sini ya,1
amit amit masuk ke univ ini takut dibully,1
kampus macam apa ini,1
air mata buaya,1
udah gimmick nya,1
dibayar berapa sampe nangis gitu,1
kepalsuan yg nyata ngurus mahasiswa aja masih tolol,1
kok cara rias dan gaya nya seperti pekerja malam ya nih cewek2 nya,1
kita disuruh ngirimin sedih dia nya sibuk pacaran nyamperin laki2,0
biarin ajaasi orang lagi birahii juga,1
yakali umur masih muda bisnis women suruh ngikutin maunya netizen suruh singel seumur hidup itu lama jadi pastikan bahagia no 1 kalau dengan punya pasangan buat diri sama anaknya bahagia kenapa nggak masa lalu tetap ada di tempat khusus di hatinya,0
mama kamari cantik banget,0
kocak bgt komenya anjir tim baca komen ajah,0
aura ladies club nya kuat,1
akhirnya satu indonesia sadar ada yang ga beres sama ni orang,1
sok cakep lu aslinya mah tulang semua tuh badannya,1
apa gue doang kali ya yang gak suka sama ini orang,1
netizen kenapa deh ngurusin hidup orang mulu,0
orang nolong kok disindir,0
ketek nya kok gitu kaya nenek nenek keriput,1
awas hamil lagi,1
siklus netijen idup ngurusin orang mulu padahl idup nya sendiri berantakan,0
ntah lah ga respect,1
emg kenapa si org juga butuh pendamping hidup lagi netizen gatau apa2 mending diem mau gimn pun juga mamari berhak bahagia gausah urusin hidup org lain,0
cakeppp polllll mamariii,0
cantikk bgtt ni orangg,0
komennya jahat2 amat para ahli neraka sibuk amat urusin hidup orng,0
ngeri ya komen org sempurna,0
secantik inii masih aja di hujat heran ya dia juga manusia pantas bahagia ga harus selalu terpuruk dari kesedihan,0
netizen ngapain sih terlalu ngurusi hidup orang namanya jg manusia tempatnya lupa salah dan dosa dia punya hak dan tanggung jwab atas dirinya sendiri kalo ga suka ya udah diunfollow aja ga usah kepo2 dah hm,0
yang gapernah hujatt orang lain mending urusin hidup sendiri,0
buset cantik banget,0
jangan ngata ngatain doain aja yg terbaik buat jen,0
kaaaa kamu selalu canciiii keep going babe,0
apasih cakep amat,0
guys plis lah knpa yg hate comment malah yang sesama perempuan,0
cantik sangat,0
iiiii cantik banget mamariiiii,0
netijen kok pada sibuk banget sih sama hidup orang apa udah bagus yah hidup nya udah rapi,0
you deserve to be happy jen,0
semangat ka jennnn,0
idih idih idih pakaian nya kurang bahan mbak,1
cantik bangetttt,0
mamari aku pngen langsing kaya kamu,0
semangat mama riii,0
alayy bgt,1
cantik juga,0
cantik bgtttt gileeeee,0
ternyata bener adab sama etika ketika berbicara berkomentar tentang orang tuh udah ga dipake makin rendah aja jadi manusia,0
reza rahadian tau kan kenapa gue mulu,0
ariel tatum harus nyapu gmna lg gue,0
muka seirenggg itu jadi pemeran ahn hyo seop,1
2 manusia terlihat panik,0
ariel tatum sampe nunduk,0
tebak isi pikiran ariel tatum,0
gabakal gue undang juga gakan gue tonton juga,1
ariel tatum anj anjjj kelompok gua ga ada yang bener,0
baca komen aktif ngeriset males,1
itu si ariel tatum udah nahan tantrum,0
caitlin sm ariel udh waswas bgt,0
abidzar lo remake film jodha akbar aja pemeran cewe nya lina mukherjee,1
ariel tatum hebat bgt nahan ga nempeleng si abizar jir,1
anjir dark bgt abidzar,1
udh ga riset pede lagi heran udh dikritik bukannya introspeksi malah sok i dont give a fuck ew belum jadi apa apa aja udah se arogan ini gimana nanti,1
muka se kusem itu di kasih untuk jadi ahn hye seop,1
busettttt omongan nya dah kayak aktor terkenal satu dunia,1
ga bakal diundang jg tapi kan kalian ttp butuh penonton woy lah,1
abizarrrr foto lu noh di twitter masih adaa,1
gayamu reng,1
ariel ga pernah se muak ini,1
kesabaran ariel tatum diuji banget,1
jelek bgttt public speakingnya bener bener jelekkkk pleassss lo tuh dibayar ph buat main film tapi kenapa blunder mulu seolah olah lo ga perlu penonton bodoh bangettt,1
aura prindavan,0
pengen belajar sama karakter ini tapi lo ga nonton serial nya abidzar gimana lo mau belajar sama karakter ini,0
itu cewek2nya langsung eye contact gtu wkwkw sekali lirik tukar pikiran saking gumohnya mereka,0
ariel sampe gelisah,0
he said dengan lantang tidak baca webtoon and tidak nonton dramanyaa,0
ahn hyoseop kuuu kang taemoo kuuu yg shining shimmering splendid ganteng gagah paripurna sempurna itu remakeannya se maghrib ini seriuss,1
tiap hari ada aja gebrakannya si abidzar,0
tatapan ariel ke caitlin udah wanti wanti waktu abidzar ngomong,0
gua liat ada sosok hitam pekat dibelakang ariel tatum,1
abidzar gaada aura konglomerat tpi bisa dpet peran kang tae moo tuh gimana,1
eh dia ga punya manager yang ngontrol dia kah,0
abidzar harusnya remake mahabarata,0
ga diundang premier la pikirmu ra butuh penonton a reng,1
kalo knetz nonton gmn ya wkwk,0
muka ariel tatum,0
pgn belajar sama karakter ini tp mau buat versi sendiri lah begimna,0
gosong amat mukanya,1
ariel tatum capek banget pastii nyapuuu muluuu,0
maghrib banget,1
kok gelapnya lain gitu ya si abidzar,1
magrib banget,1
siapa si yang pertama bilang abidzar ganteng lu liat ni,1
jefri nikol yg senga aja msh good attitude,0
ohh dia ga butuh penonton ternyata,1
astagfirullah kang taemo bukan kang parkir,1
so sorry bru ngeh dia dibelakang,0
ga cuma magrib ini malah isyak bnget,0
lagian siapa juga yang minat nonton gue kan fanatik,1
komuk ariel ama caitlin ga bisa bohong,1
mandi kata gua,1
abidzar cocokny remake mahabarata,0
gayamu reng,1
pengen belajar karakter ini tapi ga baca webtoon ataupun nonton drama nya gimana mau belajar nya disekolah atau apa aja kalau namanya belajar pasti butuh buku atau google buat referensi,0
berasa banget ariel tatum enegggghh saya juga mau muntah kenapa cari peran cowok juga yang gelap banget,1
tebak isi pikiran mbak aril,0
gada yg mau endors skincare kah,1
ariel geramnye aku,0
kang tae mo kenapa jadi black mamba,1
perasaan dulu ga sedekil ini deh abis ngapain dia,1
aura nya ya ampunn,0
aura rohingya nya terlalu kuat,1
serius nanya ada yang mau nonton,0
respect banget gaada yang ngeludahin,1
bro pikir dia jefri nichol,1
eh anjir gw nyari mana si abidzarnya ko ada suara doang taunya diatas ariel,1
emang sih ga akan diundang tapi kan mereka yang nonton,1
hati gua berisik bgt,0
sebenernya ariel sm caitlin malu bgt dan deg2an parah itu abidzar lu ko bisa sepede itu si ngomong sumpah,1
ini kalau di korea bakalan gak jdi tayang sih,0
ternyata di atas vadel ada abidzar,1
dua wanita sedang tertekan oleh perkataan kang blunder,1
bising banget magrib,1
tebak isi pikiran ariel tatum,0
keren banget ariel tatum nggak ngeludahin,1
ini emg gelap apa krna gk kena lighting,1
ya allah istigfar mulu gw kalo liat si abidzar ngomong anjir pdhl kmrin gak gini,1
kaget ternyata seireng itu,1
gue pengen belajar sama karakter ini tapi lu gak nonton aslinya abidzar tapi lu gak nonton aslinya abidzar,0
abidzar a nya apa,0
kak ariel tatum selalu smirk,0
abidzar magrib bgt jir,1
cocok abidzar ganti jefry nicol,1
kaya mang becak si abidzar,1
abidzar mending lu mandi dulu dah kata gua mah,1
abidzar anjay sepek bet gua sepek,1
bikin malu anjir si abidzar elah,1
abidzar sombong bgt jir bilang gtu tu film juga butuh penonton tanpa penonton gk akan laku tu film,1
tukang parkir,1
magrib bgt,1
pingin blajar karakter ini tapi gak mau nonton drama nya terus karakter yang mana yang mau lu coba,0
gayanya udah kaya aktor chungmuro ryu jun yeol juga kalah gaya nya,0
pengen belajar sama karakter ini tapi kemarin bilangnya mau bikin karakter versi dia,0
di depannya ada cewe cewe cantik putih dia kebanting banget malah kaya supirnya,1
woila ga butuh penonton apa yaa,1
ariel aduhh pegel banget gendong tim mulu,0
capek bgt pasti tu ariel,0
beliau mengira dirinya tampan dan pemberani,1
ini karena kamera atau apaa kok dark banget,1
nino gmna kabarnya kok ga prnah keliatan,0
maap yaaa malah kayak lina mukherjee ngga sii,1
wkkwkwkw savage balesan2 komen2 kamu kak,0
tinggl d ln bukny mkin cantik glowing laaa ini beda sndiri agak laen ng,1
mungkin dia mengikuti standar cantik di negara sana,0
aura peramal nya kuat banget,1
gak usah dengerin netizen indo standar kecantikan di indo emang beda sama di luar,0
ortunya sibuk ngurusin masalah orang lain sampek anaknya gak keurus,1
miris bgt yg komen padahal sesama perempuan loh dimana letak women support women nyaa sehat sehat deh kalian,0
kek gerah banget liat nya,1
dia cantik banget dan gak merubah apapun bentuk wajahnya kalian yg komen negatif ngerti soal cantik natural gak ini loh yang begini,0
masih ke inget nino sekeluarga ngeprank lamar natasya wilona,0
kalo di kampungku pasti di ketawain,1
hah komennya padahal cantik bgt njir,0
cinta ajak gue ke sana gue dah muak d indo,0
yang komen jelek pasti manusia2 yg menuntut dirinya harus sempurna dituntut pasangan nya harus punya standar cantik indonesia juga cinta congratulations kamu udah aman bgt di luar negeri,0
cinta maaf tapi lu kek dukun yg suka ramal pake kartu itu loh,1
kok jdi kek lina mukherjee,1
melihat komen aku jadi ingat kata namjoon bts kita tidak jelek kita hanya terlahir di masyarakat yg pintar menghakimi love your self cinta,0
mukanya mirip mama nya kulitnya warna bapak nya,1
perasaan dulu dia putih bening gitu deh inget banget pas dulu dia sekeluarga di undang ke brownis pas dia disuruh dance karna di kpo pers sumpah cantik banget putih bersih bening juga,1
ini fik yg sala orang tuanya kok cinta kuya jadi gini si,1
as always u look so pretty girls,0
ni komen pada kenapa si padahal manis lo dia nya,1
di amerika dia wanita paling cantik setidaknya kamu benar hidup disana cin dari pada disini yang slalu memprioritaskan wanita cantik hanya yg berkulit putih,0
mungkin standar cantik nya disana kyak gini tapi plis cinta kalo balik ke indo jngan kyak gini ya takut nanti nggk bisa bedain yang mana lina mukherjee,1
bruh dia seengganya dia bisa kabur dri negara ini artinya dia win kalian ini knp dah julid bgt,0
kalau cinta adalah fuji pasti di bilang magrib,1
kulit oke bgt tp pakaiannya kya anak punk,1
you look very beautiful,0
cba ganti eyesedow nya jangan itu,1
ky ema emakkkk,1
padahal dia bnyak duit,1
gw lebih suka standar kecantikan luar sna ya kalo standar kecantikan indo tu dah kaya mau adu cantik sm bidadari bikin muak apa2 patoknya ya gitulah cantik versi diri sendiri itu lebih baik,0
lama kelamaaan makin mirip bapaknya,1
jangan baca komen cinta indah kan hariharimu krena kamu hidup bukan dari uang mereka jadi abaikan mereka yg berbicara apapun karena kalo kamu bales komenan mreka mreka makin seneng menghujat bawaa happy cinta,0
aura dukun tarot,1
coba rubah model rambut nya ka,1
tapi aku liat selena gomez juga kayak setipe gitu cantiknya kaya gini paham kan ya jadi ini ga jelek tapi kalian emang ga nyangka aja kan klo dia cinta kuyaaa,0
pada gatau tan skin apa jirr cakep gini di bilang apalahh,0
aura mba2 pembaca tarot kuat bangttt,1
