comment,sentiment,comment_length,cleaned_comment,label
"Menjelang 80 hari kematian AFFAN dilindas barrakuda: hukumnya tajam ke bawah, tumpul ke atas. Penegak hukumnya melindungi teman, melayani atasan. Belum lagi 142 nyawa melayang di Kanjuruhan, kelanjutan kasus robohnya pesantren, misteri kematian Reno-Farhan, dan lain-lain. Indonesia Gulita!",1,290,menjelang 80 hari kematian affan dilindas barrakuda hukumnya tajam ke bawah tumpul ke atas penegak hukumnya melindungi teman melayani atasan belum lagi 142 nyawa melayang di kanjuruhan kelanjutan kasus robohnya pesantren misteri kematian reno farhan dan lain lain indonesia gulita,0
ky ema emakkkkðŸ˜,-1,18,ky ema emakkkk,1
yang penting perut kenyang,1,26,yang penting perut kenyang,0
Dari mukanya aja sudah kelihatan ðŸ¤£,-1,37,dari mukanya aja sudah kelihatan,1
saya masih di tim zize walaupun yg lain menghujat ... Krn pasti ada alasan berpisah. tak mungkin ada api klau ngak ada asap ðŸ¥°... semangat,1,140,saya masih di tim zize walaupun yg lain menghujat krn pasti ada alasan berpisah tak mungkin ada api klau ngak ada asap semangat,0
"Blm jadi dokter aja udh gini,gimana udh jadi dokter,gimana nasib pasiennya cobaðŸ—¿",-1,83,blm jadi dokter aja udh gini gimana udh jadi dokter gimana nasib pasiennya coba,1
kata siapa masuk perusahaan aja pake orang dalem apalagi masuk partaiðŸ¤£,1,73,kata siapa masuk perusahaan aja pake orang dalem apalagi masuk partai,0
"dari Erica, Bravy, Panda gua cuma suka liat Edward ajaðŸ¤£ðŸ¤£",1,62,dari erica bravy panda gua cuma suka liat edward aja,0
cantik banget ciiiðŸ˜,1,22,cantik banget ciii,0
"ðŸ˜ tdk di pecat, cuma di non aktifkan selama 6 BLN trs bisa ngantor lagi, ini lah hukum Indonesia ðŸ˜‚ðŸ˜",1,108,tdk di pecat cuma di non aktifkan selama 6 bln trs bisa ngantor lagi ini lah hukum indonesia,0
ibu-ibu yang nungguin anaknya main di playtopia pasti pada ngegibahin jule ðŸ˜­ðŸ˜‚ðŸ™,1,87,ibu ibu yang nungguin anaknya main di playtopia pasti pada ngegibahin jule,0
INI KULIT YG AKU MAUUUUUUUUU,1,28,ini kulit yg aku mauuuuuuuuu,0
Mirip puantat,-1,13,mirip puantat,1
parah parah ,1,12,parah parah,0
Dewan Perwakilan Rezim ðŸ¤ŒðŸ»,-1,31,dewan perwakilan rezim,1
INGAT GAIIS....!!! JANGAN PERNAH MEMILIH PARTAI PDI DLM PEMILIHAN UMUM BERIKUT NYA..,1,84,ingat gaiis jangan pernah memilih partai pdi dlm pemilihan umum berikut nya,0
"""Jualan jualan knp ngga jadi yutuber lagi bro takut ngga ada yg nntn yah""",-1,73,jualan jualan knp ngga jadi yutuber lagi bro takut ngga ada yg nntn yah,1
"Hapus admin, bikin aku bahlilphobia",-1,35,hapus admin bikin aku bahlilphobia,1
"citizen bisa jdi tersangka sewenang-wenang tanpa terbukti jadi tersangka, saksi bsa jadi tersangka, yang tidak terlibat pun bisa jadi tersangka. Maybe we are citizen, but we aint stupid",1,185,citizen bisa jdi tersangka sewenang wenang tanpa terbukti jadi tersangka saksi bsa jadi tersangka yang tidak terlibat pun bisa jadi tersangka maybe we are citizen but we aint stupid,0
"""Ngedit ketiaknya berapa lah dah itu ya ampe ngeblur pisan.. Putihnya kek cat tembok""",-1,85,ngedit ketiaknya berapa lah dah itu ya ampe ngeblur pisan putihnya kek cat tembok,1
kasihan tugbaðŸ¥º,1,17,kasihan tugba,0
disni cinta mirip banget sama mama astrid,1,41,disni cinta mirip banget sama mama astrid,0
"""Suka heran sama yg ngehina fisik,, ternyata bener ya kita semua pendosa dengan cara kita sendiri,,""",1,100,suka heran sama yg ngehina fisik ternyata bener ya kita semua pendosa dengan cara kita sendiri,0
Bahlil Bahlul beda tipis,-1,24,bahlil bahlul beda tipis,1
"Betul banget Bu, relawan itu hanya bikin gaduh",-1,46,betul banget bu relawan itu hanya bikin gaduh,1
"Selalu rapihin rambut setiap ketemu warga dan selalu terlihat gugup, sangat keliatan belum siap jadi pemimpin ðŸ˜‚",-1,114,selalu rapihin rambut setiap ketemu warga dan selalu terlihat gugup sangat keliatan belum siap jadi pemimpin,1
"abidzar sombong bgt jir bilang gtu,, tu film juga butuh penonton,tanpa penonton gk akan laku tu filmðŸ˜‚",-1,104,abidzar sombong bgt jir bilang gtu tu film juga butuh penonton tanpa penonton gk akan laku tu film,1
gampangan bgt,-1,13,gampangan bgt,1
Kalau di suruh ngomong pinter. Ngambil keputusan 0 besar,-1,56,kalau di suruh ngomong pinter ngambil keputusan 0 besar,1
"""Maudy enak bet dah cantik iya pinter iya""",1,42,maudy enak bet dah cantik iya pinter iya,0
ko kaga joget joget lagi ko ama nafa ama sahroni,-1,48,ko kaga joget joget lagi ko ama nafa ama sahroni,1
ini bukan relawan lagi melainkan TERMUL namanya ðŸ˜ðŸ˜,-1,56,ini bukan relawan lagi melainkan termul namanya,1
"""Dekil tatoan, mampus karir Lo hancurr pantek""",-1,46,dekil tatoan mampus karir lo hancurr pantek,1
"maaf ya cinta di mata ku jadi kayak peramal,kayak mak2 tarot tu loh",-1,67,maaf ya cinta di mata ku jadi kayak peramal kayak mak2 tarot tu loh,1
"Kamu Jahat bngt sih, jd sedih gwðŸ¥º",-1,36,kamu jahat bngt sih jd sedih gw,1
"cinta ajak gue ke sana , gue dah muak d indoðŸ˜­ðŸ™",1,52,cinta ajak gue ke sana gue dah muak d indo,0
karma lu wkwkw makanya jangan jahat,-1,35,karma lu wkwkw makanya jangan jahat,1
"""Indahnya pemandangan banyak LonT lonT mau di jual""",-1,51,indahnya pemandangan banyak lont lont mau di jual,1
"mukanya mirip mama nya, kulitnya warna bapak nyaðŸ™ˆðŸ™",-1,56,mukanya mirip mama nya kulitnya warna bapak nya,1
"""HBD meldi? Semoga sukses selalu dan panjang umur dan rejekinya di lancarkan.. Amin""",1,84,hbd meldi semoga sukses selalu dan panjang umur dan rejekinya di lancarkan amin,0
aki-aki bukan sembarang aki-aki ya ges,1,38,aki aki bukan sembarang aki aki ya ges,0
relawan dibuat kelanggengan kekuasaan,1,37,relawan dibuat kelanggengan kekuasaan,0
"""Muka Pas""an sok sok an mau sm lonte lo anjing""",-1,47,muka pas an sok sok an mau sm lonte lo anjing,1
"""Berharap bisa menghadirkan musisi dgn genre yang lain dr yg sudah ada di industri? biar musik Indonesia lebih berwarna""",1,120,berharap bisa menghadirkan musisi dgn genre yang lain dr yg sudah ada di industri biar musik indonesia lebih berwarna,0
"""Muka lu keriput kek aki aki""",-1,29,muka lu keriput kek aki aki,1
"""Selamat ulang tahun mel, udah yah jangan banyak tingkah""",1,57,selamat ulang tahun mel udah yah jangan banyak tingkah,0
"""Mantan Anjing, eh kebalik anjing mantan""",-1,41,mantan anjing eh kebalik anjing mantan,1
wah makin seru ðŸ”¥ðŸ”¥ðŸ”¥,1,27,wah makin seru,0
hati hati emang sekarang di kampus banyak yang melakukan penyalahgunaan kekuasaan entah rektor ataupun dosen apalagi hati hati untuk mahasiswi mahasiswi karena banyak kasus kek gituðŸ¥²,1,185,hati hati emang sekarang di kampus banyak yang melakukan penyalahgunaan kekuasaan entah rektor ataupun dosen apalagi hati hati untuk mahasiswi mahasiswi karena banyak kasus kek gitu,0
miris bgt yg komen padahal sesama perempuan loh.. dimana letak women support women nyaa???.. sehat sehat deh kalianðŸ˜Œ,1,119,miris bgt yg komen padahal sesama perempuan loh dimana letak women support women nyaa sehat sehat deh kalian,0
"""lu lebih gak sopan, mukak lu kayak babi!""",-1,42,lu lebih gak sopan mukak lu kayak babi,1
"""Apaan sih gak jelas hidupnya""",-1,30,apaan sih gak jelas hidupnya,1
dia pikir kita sebodoh pendukungnya!. ðŸ˜©,-1,42,dia pikir kita sebodoh pendukungnya,1
cinta sama amel carla awet muda bgt wkwk,1,40,cinta sama amel carla awet muda bgt wkwk,0
bro pikir dia jefri nicholðŸ¤£,-1,30,bro pikir dia jefri nichol,1
anjj.. mata ngantuk sahroni,-1,27,anjj mata ngantuk sahroni,1
"""Lu mirip anaknya kick andy yg namanya marlo bang""",1,50,lu mirip anaknya kick andy yg namanya marlo bang,0
judol judol,-1,11,judol judol,1
"maaf kayaknya hamil ya, aura bumil",-1,34,maaf kayaknya hamil ya aura bumil,1
"""MATI KAU NAJIS KONTOL BANGSAT MATI KAU""",-1,40,mati kau najis kontol bangsat mati kau,1
ga bisa bayangin kalo trio na besar nanti lihat jejak digital ibu merekaðŸ¥º,1,76,ga bisa bayangin kalo trio na besar nanti lihat jejak digital ibu mereka,0
"buat apa ganteng kalau gak bertanggung jawabðŸ˜…
anjayy ga tuh skrg netizan yg dulu mengagungÂ²kan superhero satu iniðŸ˜",-1,121,buat apa ganteng kalau gak bertanggung jawab anjayy ga tuh skrg netizan yg dulu mengagung kan superhero satu ini,1
"biar in ya ges, tidak membenarkan prilakunya jule, tapi 3 anak nya butuh kasih sayang ibu nya ðŸ˜­",1,98,biar in ya ges tidak membenarkan prilakunya jule tapi 3 anak nya butuh kasih sayang ibu nya,0
Harus berani bertanggung jawab atas ucapan juga,1,47,harus berani bertanggung jawab atas ucapan juga,0
"""muka kek banci dih najis""",-1,26,muka kek banci dih najis,1
Percuma di.jelaskan prof termul mana faham yang ada di otaknya cuma bagaimana keluarga mereka bisa makan,1,104,percuma di jelaskan prof termul mana faham yang ada di otaknya cuma bagaimana keluarga mereka bisa makan,0
ingat ramalan Hard Gumay ðŸ˜³,1,29,ingat ramalan hard gumay,0
"""yaelah muka pas""an aja bangga lu njing""",-1,40,yaelah muka pas an aja bangga lu njing,1
"percuma dihujat gabakal di dengerin gess, dia punya uang ðŸ’¸",-1,61,percuma dihujat gabakal di dengerin gess dia punya uang,1
"""WADUH MALAH LEBIH GANTENG ANJINGNYA. EH EH BAHKAN LU GA PANTES DISEBUT ANJING. ANJING KAN SETIA PANTESNYA SIH BABI HAHAHAHA""",-1,125,waduh malah lebih ganteng anjingnya eh eh bahkan lu ga pantes disebut anjing anjing kan setia pantesnya sih babi hahahaha,1
masih berani upload foto dia,-1,28,masih berani upload foto dia,1
"""Idih mak lampir, dibanding uya ma lu, lu bagaikan butiran debu,, lu dikenal karena bacot? rajin2 ngaca deh""",-1,108,idih mak lampir dibanding uya ma lu lu bagaikan butiran debu lu dikenal karena bacot rajin2 ngaca deh,1
"""Tetap semangat?. sebaik apapun kamu akan dalah Dimata pembenci?..""",1,67,tetap semangat sebaik apapun kamu akan dalah dimata pembenci,0
gw trauma Ama yg lugu2 alim gara2 s juleðŸ™‚,-1,44,gw trauma ama yg lugu2 alim gara2 s jule,1
"""Sepertinya Lutfi setelah putus dgn salsa seperti orang stress""",-1,63,sepertinya lutfi setelah putus dgn salsa seperti orang stress,1
cari amannn....,1,15,cari amannn,0
"""bidadari sudah ditunjukan , bahwa mmg g pantes sma dajjal g tau diri""",-1,70,bidadari sudah ditunjukan bahwa mmg g pantes sma dajjal g tau diri,1
"""Kasian yah sdh stress banyak masalah""",-1,38,kasian yah sdh stress banyak masalah,1
Senang mengenal kalian guys,1,27,senang mengenal kalian guys,0
"""Potret ketika anjing poto dengan setan""",-1,40,potret ketika anjing poto dengan setan,1
Keren om,1,8,keren om,0
"""Artis abal-abal.. Muka putih tangan hitam? ager2 ATM nya udah isi berapa sekarang""",-1,83,artis abal abal muka putih tangan hitam ager2 atm nya udah isi berapa sekarang,1
Komuk ariel ama caitlin ga bisa bohongðŸ˜­,-1,42,komuk ariel ama caitlin ga bisa bohong,1
2029 jgn ada yg pilih calon apapun dari PDI-P,1,45,2029 jgn ada yg pilih calon apapun dari pdi p,0
"""Kalian kaloga cocok mau di paksain?""",1,37,kalian kaloga cocok mau di paksain,0
kok bisa ya muka nya mirip2 petinggi2 nya apa ini suatu kebetulan...???,1,71,kok bisa ya muka nya mirip2 petinggi2 nya apa ini suatu kebetulan,0
"betul ih bnyak yg singel mom malah sukses2 aja, padahal dia udah mulai di sukai netizen eh malah berulah lagi",1,109,betul ih bnyak yg singel mom malah sukses2 aja padahal dia udah mulai di sukai netizen eh malah berulah lagi,0
Ganteng banget sih calon suaminya mba @eri.carl,1,47,ganteng banget sih calon suaminya mba carl,0
ahn hyoseop kuuu kang taemoo kuuu yg shining shimmering splendid ganteng gagah paripurna sempurna itu remakeannya se maghrib ini???? seriuss??ðŸ˜­ðŸ˜­,-1,150,ahn hyoseop kuuu kang taemoo kuuu yg shining shimmering splendid ganteng gagah paripurna sempurna itu remakeannya se maghrib ini seriuss,1
"""Aduuh.. terlalu halu.. hhahaha lebay editan nyaa lemak kemana lemak? hahhaaa.. mimpi ketinggian..""",-1,99,aduuh terlalu halu hhahaha lebay editan nyaa lemak kemana lemak hahhaaa mimpi ketinggian,1
sehat sehat zizeâ¤,1,19,sehat sehat zize,0
"""Ka yaya kalo ragu tetep secantik itu yah :"")""",1,46,ka yaya kalo ragu tetep secantik itu yah,0
"""Inimah bukan main alat musik lagi. Olahraga jari dan kaki ini mah""",1,67,inimah bukan main alat musik lagi olahraga jari dan kaki ini mah,0
Inimah kopi sama susu,-1,21,inimah kopi sama susu,1
The Real pemecah belah bangsa,-1,29,the real pemecah belah bangsa,1
PUAS BGT BACAIN KOMEN ðŸ¤£ðŸ™ðŸ»,1,34,puas bgt bacain komen,0
"menyesal karena ketauan..kalau ga ketauan ya lanjut buly..sekarang aja pasti masih ngebully mungkin sama temen"" nya",-1,115,menyesal karena ketauan kalau ga ketauan ya lanjut buly sekarang aja pasti masih ngebully mungkin sama temen nya,1
"tidak terbayang kalo dia beneran lanjut sama sapri, junho eunho jena yang sekorea itu harus liat kuda lumping terusðŸ˜­ðŸ˜­",-1,123,tidak terbayang kalo dia beneran lanjut sama sapri junho eunho jena yang sekorea itu harus liat kuda lumping terus,1
CANCEL JUGAAAALHAA YUKKK EKWKKEKE,-1,33,cancel jugaaaalhaa yukkk ekwkkeke,1
satu lagi kak jadi kan tragedi 98 siapa dalang nya dan yang lengserin pak harto siapaðŸ¤­ diem nya pak harto selama nih di bayar tunai allah bukain semuanya,1,156,satu lagi kak jadi kan tragedi 98 siapa dalang nya dan yang lengserin pak harto siapa diem nya pak harto selama nih di bayar tunai allah bukain semuanya,0
"""Sudah dongggg dan sudah di liked juga.. congratulations""",1,57,sudah dongggg dan sudah di liked juga congratulations,0
buat projo....terus lh menjilat...karna itu jalan usaha menapkahi keluarga nyaðŸ˜ðŸ˜ðŸ˜ðŸ˜,-1,94,buat projo terus lh menjilat karna itu jalan usaha menapkahi keluarga nya,1
Idihhhh cuihhhhhh,-1,17,idihhhh cuihhhhhh,1
"emang cuma settingan mereka tuh,cuma pengen jatohin si pandaðŸ˜",-1,64,emang cuma settingan mereka tuh cuma pengen jatohin si panda,1
dia nangis knp aku juga ikut tidak nangis ðŸ˜‚ apakah aku harus pura2 nangis ðŸ˜‚,1,81,dia nangis knp aku juga ikut tidak nangis apakah aku harus pura2 nangis,0
"""hanya bisa melihat hujatan klean kasian si listy kontrak nya d copot , di hujat memang dunia sgt kejam""",1,104,hanya bisa melihat hujatan klean kasian si listy kontrak nya d copot di hujat memang dunia sgt kejam,0
"jadi cantik juga serem ya, kadang cowok tuh ada aja obsesi banget sama kecantikan si cewek sampe kayak psikopat kalo ngejar ngejar ",1,131,jadi cantik juga serem ya kadang cowok tuh ada aja obsesi banget sama kecantikan si cewek sampe kayak psikopat kalo ngejar ngejar,0
"""Yang sabar yah,tetep semangat ngejar karirnya jangan dengerin kata orang mereka Cuma bisa ngebacot di komen doank""",1,115,yang sabar yah tetep semangat ngejar karirnya jangan dengerin kata orang mereka cuma bisa ngebacot di komen doank,0
tebak isi pikiran ariel tatumðŸ¤£,1,33,tebak isi pikiran ariel tatum,0
"ini apa, ketinggalan berita guaðŸ˜­ðŸ˜­",1,39,ini apa ketinggalan berita gua,0
Cakep woe ðŸ˜ŽðŸ”¥,1,18,cakep woe,0
"""Jangan di bales komen hate bang bikin sakit jempol, mending lanjut berkarya:)""",1,79,jangan di bales komen hate bang bikin sakit jempol mending lanjut berkarya,0
iya percaya ko ðŸ˜ŒðŸ˜Œ ðŸ—¿,1,28,iya percaya ko,0
"betul, bisa di liat dari anak sekolah jaman pak Harto sama anak sekolah jaman sekarang, dl kelas 6 SD aja sudah hapal ibukota negara-negara, pegangan rpul, rpal, 1 jam berapa menit aja tau, anak skrg? ðŸ˜­ðŸ˜­ðŸ˜­",-1,213,betul bisa di liat dari anak sekolah jaman pak harto sama anak sekolah jaman sekarang dl kelas 6 sd aja sudah hapal ibukota negara negara pegangan rpul rpal 1 jam berapa menit aja tau anak skrg,1
"Maaf menurutku kalo mau protes ya ke bupati dan gubernurnya kan setiap daerah ada pemimpinnya jadi itulah gunanya mereka, kalo RI pusat mana tau jalan-jalan yg rusak kalo pemimpin daerahnya diem, kan stiap daerah ada anggarannya jadi tanya dong sama merekaðŸ™ðŸ™jgn bisanya nyalahin presiden begini salah bgitu salah trus yg bener siapa ðŸ˜‡ðŸ˜‡",1,347,maaf menurutku kalo mau protes ya ke bupati dan gubernurnya kan setiap daerah ada pemimpinnya jadi itulah gunanya mereka kalo ri pusat mana tau jalan jalan yg rusak kalo pemimpin daerahnya diem kan stiap daerah ada anggarannya jadi tanya dong sama mereka jgn bisanya nyalahin presiden begini salah bgitu salah trus yg bener siapa,0
malah nyalahin Pertamina kocak ðŸ˜…,1,35,malah nyalahin pertamina kocak,0
sejak Jokowi jadi presiden lah ada relawan ada influencer dan piara buzzer ...pemecah belah anak bangsa ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,-1,120,sejak jokowi jadi presiden lah ada relawan ada influencer dan piara buzzer pemecah belah anak bangsa,1
"BANG LU GW UNFOL, GW NYESEL BGT DLU DH DUKUNG LU SMAA AJA LU SMA SEBELAH EELAHHHH",-1,81,bang lu gw unfol gw nyesel bgt dlu dh dukung lu smaa aja lu sma sebelah eelahhhh,1
Demo kemaren benerÂ² ga ada artinya.,1,36,demo kemaren bener ga ada artinya,0
"Ahhh gilak lo jahat sih, kecewa.",-1,32,ahhh gilak lo jahat sih kecewa,1
anak pki,-1,8,anak pki,1
"Gak ada beda nya sih kak, BAHLIL SAMA DENGAN BAHLUL . Artinya GU0BLOKK",-1,70,gak ada beda nya sih kak bahlil sama dengan bahlul artinya gu0blokk,1
densu dan om dedi pasti lagi muak bgtðŸ¤£ðŸ‘ðŸ»,-1,49,densu dan om dedi pasti lagi muak bgt,1
"""INGETT HIDUP LO DULU GA SEENAK INI RIKKK. HIDUP LO SUSAH!!!! SALAM TEMEN SMP PAS LO BURIKKK. EH SKRG SAMA AJA""",-1,111,ingett hidup lo dulu ga seenak ini rikkk hidup lo susah salam temen smp pas lo burikkk eh skrg sama aja,1
kenapa idungnya manggil manggil minta ditanya si ðŸ˜­,-1,53,kenapa idungnya manggil manggil minta ditanya si,1
Huek cuiih cuih cuihh,-1,21,huek cuiih cuih cuihh,1
nyakitin nya luar biasa,-1,23,nyakitin nya luar biasa,1
"""Sdh lh nasi udah jdi bubur ga bisa lagi dibentuk kek semulaaa""",1,63,sdh lh nasi udah jdi bubur ga bisa lagi dibentuk kek semulaaa,0
kebanyakan ngirul ganja itu ðŸ¤­,-1,32,kebanyakan ngirul ganja itu,1
"hey ini di Ternate, kampus mana ituuu?",1,38,hey ini di ternate kampus mana ituuu,0
"""Kamu mirip bgt ayahmu kalo adikmu mirip bgt mamamu""",1,52,kamu mirip bgt ayahmu kalo adikmu mirip bgt mamamu,0
"dia klarifikasi karena takut kena bully, gak dapet kerja dan dikeluarkan dari kampus. bukan betulan menyesal",-1,108,dia klarifikasi karena takut kena bully gak dapet kerja dan dikeluarkan dari kampus bukan betulan menyesal,1
"""Selamat ulang tahun panjang umur sampai ketemu dajjal""",-1,55,selamat ulang tahun panjang umur sampai ketemu dajjal,1
Bagus..ðŸ‘,1,11,bagus,0
"mau"" nya lagi si lintang sama aki akiðŸ¤£",-1,41,mau nya lagi si lintang sama aki aki,1
"""bego anak orang udah ga perawan noh gara"" lu wkwkw""",-1,52,bego anak orang udah ga perawan noh gara lu wkwkw,1
"""cantik sih, tapi sayang kurus ya. padahl udh nikah lo, kurang bahagia sama pernikahannya?""",-1,91,cantik sih tapi sayang kurus ya padahl udh nikah lo kurang bahagia sama pernikahannya,1
Aku Malah merasa engap denger yg lg ngomong ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­,-1,60,aku malah merasa engap denger yg lg ngomong,1
"""Wah ngehina fisik ni orang,ga bener ya wkwkwkwk""",1,49,wah ngehina fisik ni orang ga bener ya wkwkwkwk,0
"kenapa pindah kampus, kenapa tidak pihak dosennya di proses",1,59,kenapa pindah kampus kenapa tidak pihak dosennya di proses,0
"""Bagusan pantat panci aing atuh anjir""",-1,38,bagusan pantat panci aing atuh anjir,1
"""Heran gua mah kalau gasuka gausah di follow dah tau ni akun private kalo lu tetap follow dan ngebuli tanda nya lu sirik. Gasuka ya gausah diliat, kaya dirinya sempurna aja""",1,173,heran gua mah kalau gasuka gausah di follow dah tau ni akun private kalo lu tetap follow dan ngebuli tanda nya lu sirik gasuka ya gausah diliat kaya dirinya sempurna aja,0
"""Ka cipa tu uda cantik, baik, manis bgt pula, manisnya tu nglebihin gula""",1,73,ka cipa tu uda cantik baik manis bgt pula manisnya tu nglebihin gula,0
semakin dihujat isu miring perceraian cinta mereka makin kuat. dan semakin kokoh,1,80,semakin dihujat isu miring perceraian cinta mereka makin kuat dan semakin kokoh,0
"""Semakin glowing say? natural kayak gini bagus tambahin prestasi nya ya say""",1,76,semakin glowing say natural kayak gini bagus tambahin prestasi nya ya say,0
hak apa yang melekat ke kamu kok bisa jadi yang ngasih pelajaran?,1,65,hak apa yang melekat ke kamu kok bisa jadi yang ngasih pelajaran,0
"""MasyaAllah selalu mempesona baik kaum adam maupun kaum hawa""",1,61,masyaallah selalu mempesona baik kaum adam maupun kaum hawa,0
"""Pantesan kak Jessica bilang bang jerom beruang wkwkwk""",1,55,pantesan kak jessica bilang bang jerom beruang wkwkwk,0
"""Ni org jelek ga ada obat.kok jj mau liat apa ya..""",-1,51,ni org jelek ga ada obat kok jj mau liat apa ya,1
karena relawan jaman Jokowi komonis itu menghidopkan komonis,-1,60,karena relawan jaman jokowi komonis itu menghidopkan komonis,1
"Playboy sok tobat, kagak bisa njir.. ðŸ˜‚",-1,41,playboy sok tobat kagak bisa njir,1
CANTIK BGTTTT GILEEEEE,1,22,cantik bgtttt gileeeee,0
"""Sebelum aku Unfoll, aku mau bilang NAJISSSS""",-1,45,sebelum aku unfoll aku mau bilang najissss,1
"""mama gigi ketemu gajah. gajahnya seneng sampai ketawa gitu ahhaha.""",1,68,mama gigi ketemu gajah gajahnya seneng sampai ketawa gitu ahhaha,0
"""Sekarang bukan muka aja yang didempul, tapi ketiak juga""",-1,57,sekarang bukan muka aja yang didempul tapi ketiak juga,1
"unfoll ah, udah ga menarik wkwk",-1,31,unfoll ah udah ga menarik wkwk,1
"""@angelkmgi ini paling cute sih, ganteng parah msh kecil jg""",1,60,ini paling cute sih ganteng parah msh kecil jg,0
anjing-anjing neraka yang menyamar menjadi ustad ,-1,49,anjing anjing neraka yang menyamar menjadi ustad,1
"""IH ADA BABI JGN MEGANG TUH ANJING HARGA DIRINYA LEBIH TINGGI DRIPADA LO""",-1,73,ih ada babi jgn megang tuh anjing harga dirinya lebih tinggi dripada lo,1
"Coooolllll",1,11,coooolllll,0
se tipis itu anjir badannya ðŸ˜­ðŸ˜­,-1,36,se tipis itu anjir badannya,1
"""serem banget muka lo mel kayak ayam potong merah banget""",-1,57,serem banget muka lo mel kayak ayam potong merah banget,1
kontrak pahlawan nya udah selesai,1,33,kontrak pahlawan nya udah selesai,0
"""@abatartila Ada ada aja kaya gini di bilang king, king muke nya udh kaya tai musang""",-1,85,ada ada aja kaya gini di bilang king king muke nya udh kaya tai musang,1
kadang coment nya bener banget... ko Rigen semua yg lakie,-1,57,kadang coment nya bener banget ko rigen semua yg lakie,1
 jangan lupa asah skill berkelakuan baik dan punya keluarga bang ðŸ™ biasa nya itu COUNTER jerat hukum pidana,1,110,jangan lupa asah skill berkelakuan baik dan punya keluarga bang biasa nya itu counter jerat hukum pidana,0
"""Cowoknya ga ada cakep cakepnya""",-1,32,cowoknya ga ada cakep cakepnya,1
"nah ini nih, Bru aj mo bilang wkwkwk",1,36,nah ini nih bru aj mo bilang wkwkwk,0
oh itu jule? kirain baby sister barunya trio Na,-1,47,oh itu jule kirain baby sister barunya trio na,1
"""Gw kesini pengen liat babang ini.. Sumpah feeling gw bener.. Mirip banget ama Reynhard Sinaga""",1,95,gw kesini pengen liat babang ini sumpah feeling gw bener mirip banget ama reynhard sinaga,0
liat sahroni ingat ( heeeeehaaa' )ðŸ˜‚,-1,38,liat sahroni ingat heeeeehaaa,1
aku kira kuliah itu menjamin moral dan etika.. ternyata ada ya yang begini.. calon dokter lagi.. ðŸ˜­,1,101,aku kira kuliah itu menjamin moral dan etika ternyata ada ya yang begini calon dokter lagi,0
"Aku jdi chacu nangis bgt, jujur emg ke bude bude",-1,48,aku jdi chacu nangis bgt jujur emg ke bude bude,1
kak masyaallah nggak cape apa cantik terus,1,42,kak masyaallah nggak cape apa cantik terus,0
"Lu aja semua yang ngomong, gua mau silent treatment dlu",1,55,lu aja semua yang ngomong gua mau silent treatment dlu,0
Nurul mallu ga sii ditolak hampir seindonesiaðŸ™ˆðŸ™ˆ,-1,53,nurul mallu ga sii ditolak hampir seindonesia,1
