komentar,label
Ariel tatum capek banget pastii ðŸ˜­ðŸ˜­ nyapuuu muluuu,1
maghrib bangetðŸ˜‚,0
kok gelapnya lain gitu ya si abidzarðŸ˜­,0
magrib banget,0
siapa si yang pertama bilang abidzar ganteng? lu liat niðŸ˜­,0
jefri nikol yg senga aja msh good attitude ðŸ¤£,1
ohh dia ga butuh penonton ternyata,0
astagfirullah kang Taemo bukan kang parkir ðŸ™,0
"So sorry, bru ngeh dia dibelakangðŸ™",1
Ga cuma magrib. Ini malah isyak bnget,1
"lagian siapa juga yang minat nonton, gue kan fanatikðŸ¤£ðŸ™",0
Komuk ariel ama caitlin ga bisa bohongðŸ˜­,0
mandi kata gua,0
abidzar cocokny remake mahabarata,1
gayamu reng,0
"pengen belajar karakter ini, tapi ga baca Webtoon ataupun nonton drama nyaðŸ˜­ Gimana mau belajar nya?ðŸ˜­ Disekolah atau apa aja kalau namanya belajar pasti butuh buku atau google buat referensiðŸ˜­",1
"Berasa banget ariel tatum enegggghh ðŸ˜­ saya juga mau muntah,kenapa cari peran cowok juga yang gelap banget ðŸ˜­",0
tebak isi pikiran mbak aril,1
gada yg mau endors skincare kah?ðŸ˜­,0
Ariel: geramnye aku,1
Kang tae mo kenapa jadi black mambaðŸ˜­,0
perasaan dulu ga sedekil ini deh? abis ngapain dia,0
aura nya ya ampunn,1
aura rohingya nya terlalu kuat,0
Serius nanya ada yang mau nonton?,1
respect banget gaada yang ngeludahin,0
bro pikir dia jefri nicholðŸ¤£,0
Eh anjir gw nyari mana si abidzarnya ko ada suara doang taunya diatas arielðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­,0
emang sih ga akan diundang tapi kan mereka yang nonton ðŸ˜­ðŸ«µðŸ»,0
hati gua berisik bgt,1
"sebenernya ariel sm caitlin malu bgt dan deg2an parah itu, abidzar lu ko bisa sepede itu si ngomong sumpah",0
ini kalau di korea bakalan gak jdi tayang sih...,1
ternyata di atas vadel ada abidzarðŸ˜­ðŸ˜­,0
dua wanita sedang tertekan oleh perkataan kang blunderðŸ—¿ðŸ˜­,0
bising banget magrib,0
tebak isi pikiran ariel tatumðŸ¤£,1
keren banget ariel tatum nggak ngeludahin,0
ini emg gelap? apa krna gk kena lighting?,0
"Ya allah istigfar mulu gw kalo liat si abidzar ngomong anjirðŸ˜­ðŸ˜­ðŸ˜­, pdhl kmrin gak gini ðŸ—¿ðŸ¤£",0
kaget ternyata seireng ituðŸ˜­,0
"""gue pengen belajar sama karakter ini"" tapi lu gak nonton aslinya Abidzar..........
tapi lu gak nonton aslinya Abidzar..........",1
abidzar a nya apa,1
kak Ariel Tatum selalu smirk,1
abidzar magrib bgt jir ðŸ˜¹ðŸ˜¹,0
cocok abidzar ganti Jefry nicol,0
kaya mang becak si abidzarðŸ˜­,0
"abidzar, mending lu mandi dulu dah kata gua mah",0
"abidzar: ""anjay sepek bet gua sepek""",0
bikin malu anjir si abidzar elah,0
"abidzar sombong bgt jir bilang gtu,, tu film juga butuh penonton,tanpa penonton gk akan laku tu filmðŸ˜‚",0
tukang parkir ðŸ˜­ðŸ˜­,0
magrib bgt,0
Pingin blajar karakter ini tapi gak mau nonton drama nya Terus karakter yang mana yang mau lu coba,1
"gayanya udah kaya aktor chungmuro,Ryu Jun Yeol juga kalah gaya nyaðŸ˜­ðŸ¤£ðŸ¤£ðŸ‘ŠðŸ»",1
â€œpengen belajar sama karakter iniâ€ tapi kemarin bilangnya mau bikin karakter versi diaðŸ˜­,1
"di depannya ada cewe cewe cantik, putih. dia kebanting banget malah kaya supirnya",0
woila ga butuh penonton apa yaaðŸ˜Œ,0
ariel : â€œaduhh pegel banget gendong tim muluâ€,1
capek bgt pasti tu ariel ðŸ¤£ðŸ¤£ðŸ¤£,1
beliau mengira dirinya tampan dan pemberani,0
ini karena kamera atau apaa kok dark banget,0
nino gmna kabarnya kok ga prnah keliatan,1
maap yaaa malah kayak Lina Mukherjee ngga siiðŸ˜­ðŸ™,0
Wkkwkwkw savage balesan2 komen2 kamu kakðŸ˜‚ðŸ˜‚ðŸ˜‚,1
tinggl d LN bukny mkin cantik glowing laaa ini beda sndiri ðŸ¤£ agak laen ng,0
Mungkin dia mengikuti standar cantik di negara sana,1
Aura peramalâ€™nya kuat bangetðŸ˜­,0
"gak usah dengerin netizen indo, standar kecantikan di indo emang beda sama di luar",1
Ortunya sibuk ngurusin masalah orang lain sampek anaknya gak keurus,0
miris bgt yg komen padahal sesama perempuan loh.. dimana letak women support women nyaa???.. sehat sehat deh kalianðŸ˜Œ,1
kek gerah banget liat nyaðŸ˜­,0
"dia cantik banget, dan gak merubah apapun bentuk wajahnya â™¡
kalian yg komen negatif ngerti soal cantik natural gak? ini loh yang begini",1
Masih ke inget nino sekeluarga ngeprank lamar natasya wilonaðŸ¤£,1
"ðŸ¤£kalo di kampungku,pasti di ketawainðŸ˜‚",0
hah komennya?! padahal cantik bgt njir ðŸ˜­,1
"cinta ajak gue ke sana , gue dah muak d indoðŸ˜­ðŸ™",1
"yang komen jelek pasti manusia2 yg menuntut dirinya harus sempurna, dituntut pasangan nya harus punya standar cantik indonesia juga. Cinta, congratulations kamu udah aman bgt di luar negeri ðŸ¥°",1
cinta maaf tapi lu kek dukun yg suka ramal pake kartu itu lohðŸ¥º,0
kok jdi kek Lina Mukherjee ðŸ˜ŒðŸ˜Œ,0
"melihat komen"" aku jadi ingat kata Namjoon BTS "" kita tidak jelek,kita hanya terlahir di masyarakat yg pintar menghakimi""
love your self cintaðŸ’œðŸ’Ÿ",1
"mukanya mirip mama nya, kulitnya warna bapak nyaðŸ™ˆðŸ™",0
"perasaan dulu dia putih bening gitu deh, inget banget pas dulu dia sekeluarga di undang ke brownis pas dia disuruh dance karna di kpo-pers, sumpah cantik banget,putih bersih bening juga",0
ini Fik yg sala orang tuanya...kok cinta Kuya jadi gini si..,0
as always u look so pretty girls ðŸ˜,1
"ni komen pada kenapa si, padahal manis lo dia nya",0
"di amerika dia wanita paling cantikðŸ¥°
setidaknya kamu benar hidup disana cin..
dari pada disini yang slalu memprioritaskan wanita cantik hanya yg berkulit putih ðŸ¥°ðŸ™",1
mungkin standar cantik nya disana kyak gini ðŸ˜Œ tapi plis cinta kalo balik ke indo jngan kyak gini ya. takut nanti nggk bisa bedain yang mana Lina Mukherjee ðŸ™ðŸ»,0
"Bruh dia seengganya dia bisa kabur dri negara ini, artinya dia win. kalian ini knp dah julid bgtðŸ˜­",1
kalau cinta adalah fuji pasti di bilang magrib...,0
"Kulit oke bgt , tp pakaiannya kya anak punkðŸ˜­",0
YOU LOOK VERY BEAUTIFUL ðŸ˜­ðŸ’—,1
Cba ganti eyesedow nya jangan itu ðŸ™ðŸ»,0
ky ema emakkkkðŸ˜,0
padahal dia bnyak duit.,0
"gw lebih suka standar kecantikan luar sna ya, kalo standar kecantikan indo tu dah kaya mau adu cantik sm bidadari, bikin muak apa2 patoknya ya gitulah. cantik versi diri sendiri itu lebih baikâ¤ï¸",1
"lama-kelamaaan makin mirip bapaknya ,",0
"jangan baca komen cinta , indah kan hariharimu , krena kamu hidup bukan dari uang mereka jadi abaikan mereka yg berbicara apapun . karena kalo kamu bales komenan mreka, mreka makin seneng menghujat. Bawaa happy cinta ..",1
Aura dukun tarot ðŸ˜­,0
coba rubah model rambut nya kaðŸ¥°,0
"tapi aku liat selena gomez juga kayak setipe gitu cantiknya kaya gini,paham kan yaðŸ˜­jadi ini ga jelek tapi kalian emang ga nyangka aja kan klo dia cinta kuyaaa",1
PADA GATAU TAN SKIN APA JIRR CAKEP GINI DI BILANG APALAHH,1
aura mba2 pembaca tarot kuat bangtttðŸ˜­ðŸ™,0
"d saat org berbindong""utk mnjdi putih,wanita ini dengan bangga nya dengan warna kulitnya..ini lah yg d sebut Bersyukurâ˜ºï¸",1
gaes glowing gak harus putih. cinta ini kek jenifer. lebih suka kulit tan. jadi bukan dia gak ngerawat diri. justru dia sengaja ngubah warna kulit biar eksotis,1
malah keliatan lbh mudaan emaknyaðŸ˜³,0
Coba dehhhhh â€¦â€¦.Ke salon ?? ðŸ˜,0
"plisss normalisasikann tan skin teman""ðŸ™ðŸ», semua kulit tuhh cakeppâœ¨",1
"maaf bgt,pertama liat tak pikir peramal/mbah dukun g nge klo uya kuya",0
"Cantikkk bngttttðŸ¥°please jgn dengerin orang ngomong apa,kmu cantik dengan pilihan kamu sendiri,setiap",1
"Cantik cinta kuya, inilah sebenarnya kulit Indonesia woy, Tan skin banggalah kalian, tapi cinta kurangi baju terbuka nya yaa",1
"guys mf tapi dimataq ini cantik,
smp pangling, klo gak krn liat nama dan komennya aq gk tau ini Cinta Kuya",1
cewe kaya looks cinta ini di amrik sana emg jatuhnya cewe kece woii. beda ama kita,1
Cinta banyak yang bilang aku mirip kamu ðŸ˜­,1
Pdhl lebih cantik jdi diri sendiri,1
"kalo liat kak cinta aku percaya cantik itu gak harus putih,tapi gak cocok di kampungku,yg putih itu yg cantikðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­",1
pdhl cantikan dulu,0
"dia gak mau putih guys pilihan dia sendri kok ,tanskin di luar negri kan mahal ðŸ¥°",1
"pengen deh kayak cinta,keluar negri +kerja disanaðŸ˜­",1
cinta sama amel carla awet muda bgt wkwk,1
tanpa oplas cantiknya alami....cinta cantik...ðŸ˜Ž,1
Cantikkk bangett tan skinðŸ¥°,1
Makeup zaman emak gw sih ini cinðŸ¥º,0
aku jg lebih suka natural gini sehari hari dr pada dempulðŸ˜‚,1
dia itu cantik di negara bule sana,1
Mirip cinta anak nya uya kuya,1
"lahh kirian aku bukann cinta anknya uya kuyaa, cantikk bgttt",1
kulitnya bgus bangetttðŸ¥°,1
cantik banget ðŸ¥°ðŸ¥° vibes nya sdah kyak Amerika latin ðŸ¥°ðŸ¥°,1
"itu sesuai gaya di negara sana, memang kulit kaya gitu sesuai standar kecantikan negara sana, beda lagi kalo dia tinggal di Korea atau cina pasti gayanya sesuai negara situ juga, kayak nya dia fashionable",1
"maaf ya cinta di mata ku jadi kayak peramal,kayak mak2 tarot tu loh",0
kalian yg ngomen kaya uda sempurna ajaðŸ˜Œ,1
ngbayangin teh astrid pas mudaðŸ˜,1
kamu cantik tanpa perlu validasi dari orang2 rese... ðŸ¥°,1
kulitnya idaman para buleâ˜ºï¸,1
tp trliat lbh tua dd umurnyaðŸ˜­,0
tan skin disana cantik loh guys di indo mah beda lagi,1
tapi rambutnya plisðŸ˜­ mengurangi kecakepannya maap yaðŸ«µðŸ™,0
"umurny berapa sih,maap keliatan tua",0
demi apa pdhl dulu imut bgt kok sekarang?,0
cinta lu knpeee cin? knape jadi begini,0
mau kek manapun dia tuh bahagia dengan dirinya sendiri tau.... kalian punya tenaga bgt ngurusin hidup orang.. lah gw mau mandi aja magernya minta maap ðŸ¤£,1
kget njir liat cinta skrng kek gniðŸ˜­,0
jadi kaya umur 35 an giniðŸ™‚ðŸ™‚ðŸ™‚,0
cinta knpa malah kaya gini ðŸ˜”,0
kulitnya bagus bgt deh,1
cantik banget loh kulitnya ðŸ˜­ walaupun ga putih tpi bersih mulusðŸ¥°,1
"kaya gini di hujat ? ini cantik bgt woyy kulitnyaaa ðŸ”¥ , heran bgt definisi cantik harus putih ðŸ˜’",1
lebih muda mamak dia di banding dia maaf haa cinta tapi emang iyaðŸ˜Œ,0
Gw kira anaknya uya kuya,1
"hiraukan aja hujatannya kk
yg pentingg ilmuuu nyaaaðŸ‘",1
Tua,0
Cinn cantik bangetttðŸ˜­,1
"komennya kejam2 bangetðŸ¥² emangnya cinta salah apa sih sama kalian guys?? cantik itu gak mesti sulam alis,pake eyelash,softlen,sulam bibir dllðŸ˜©",1
cantik bgt warna kulitnyaðŸ¥°,1
pas dewasa gini dia mirip mamanya banget,1
kacamata nya.. bikin tua,0
"komennya pd knp si, emng dia harus begimane, idup idup dia ngapa pd ngatur dahðŸ˜­",1
disni cinta mirip banget sama mama astrid,1
"Standar kecantikan org , negara, selera itu beda beda jdi stop buat nuntut standar kecantikan seperti di ekspektasi kalean !",1
Cakep Manis loh .. please lahh nggak semua orang harus putih ya kulitnya .. tiap orang punya style nya masing2 ..,1
masya allah cantik&mandiriðŸ˜,1
kenapa hostnya tidak langsung memutar video lawasnya? jangan terlalu menjaga perasaan tamu yang di undang,1
kaum 58% gak bakal sadar,0
apaalgi anak abah yang masih ngarep abahnya jadi presiden,0
Kambuh lagi org ini,0
ahhh termul ya tetep termul,1
bunglon...ðŸ¤”ðŸ¤”ðŸ¤”,0
projo(negri dan rakyat) kocak2 jauh banget ngelak nyaðŸ¤£ðŸ¤£ðŸ¤£,1
"apa yg harus di percaya SMA bapak ini,kasih video lama,kata beliau waktu dl projo itu apa",1
"Betapa malangnya negara ini, kasi makan,fasilitas mewah ke orang macam ini..",0
Tergantung siapa yg kasih makan,1
PROJO : NEGERI DAN RAKYAT ? Singkatan nyambungnya dmn?,1
mukanyaðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,0
kalo dia bilang A berarti yg benar B,1
mntap pak ambil aja negeri ini buat pak projo,1
Dari mukanya aja sudah kelihatan ðŸ¤£,0
kalo ngga ngeles ya bukan ternakðŸ˜‚,0
mengganti logo berharap bisa masuk GerindraðŸ¤£ðŸ¤£ðŸ¤£,1
Ngabalin jilid 2ðŸ—¿,1
pak judi Arie lagi klarifikasiðŸ˜‚,0
internet cepat kan,1
ini org terlalu banyak karisifikasi ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,0
projudol,0
Sengkuni,0
kambuh lagi,0
judol judol,0
Meluruskan= membelokan ?ðŸ¤ª #pahamðŸ¤£,1
muncungnya,0
ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ cuci muka cuci tangan cuci apa lagi,0
bahaya org ini,0
"kata Mak aku , orang itu yg dipegang dipercaya omongan nya....yg keluar dari MULUT nya....ðŸ¤­ðŸ¤­ðŸ¤­",1
internet cepat buat apa,1
ke 20 minðŸ—¿,1
preett,1
orang apa ini guru,0
intinya cari makan.. tak ada yg lain....,1
pro apa ini?,1
dia siapa?,1
tidak jauh jauh dari ajudannya ngibulnya,0
Ngabalin versi 3 setelah Haikal hasan,0
angkot jangan dengerinðŸ˜‚,0
iya percaya ko ðŸ˜ŒðŸ˜Œ ðŸ—¿,1
baru tau arti yakult dikasih nyawaðŸ˜­,0
sengkuni sengkuni,0
yang penting perut kenyang,1
"projo, JOnya apa?",0
jangan lupa kan jejak digital nya. Ruhut juga ini menempati diri pada penguasa. supaya tetap eksis ðŸ¤£,0
gangsinggghh....muter2ðŸ¤£ðŸ˜‚,0
nyari kerja skrg susah ðŸ˜…ðŸ˜…ðŸ˜…,1
kapan masuk pengadilan Pak budi?ðŸ˜,0
tahun itu dia ngomong Projo pro Jokowi. knpa gak ditunjukin aja video nya biar dia kemakan fakta yg pernah di omongin. ?,1
"mepet pasti ada butuhnya.. jangan mau pak Prabowo disusupi org"" beginian",1
ngisng aja,0
ya kali kejayaan selamanya bang ðŸ˜‚,0
siapa ya loe,1
di lupa rekam jejaknya ðŸ¤£â˜ºï¸ðŸ¤£,0
Yakin Projo dalam bahasa sansakerta negeri & rakyat ? coba cek geh di google translate ðŸ˜‚ðŸ˜‚ðŸ˜‚,1
ITU PRAJA BUKAN PROJO,1
Jadikan sekjen Gerindra...,0
Projo itu pro Jokowi ðŸ˜€,0
omongan gak bisa di pegang bahaya,1
dia yg ngomong dia yg bantah sama kaya junjungannya,0
projo artinya negri dan rakyatðŸ˜­ðŸ˜‚,1
cari amannn....,1
garis lurus bersama pak jokowi gak kenal namanya budi ari,1
Budiiii Budi,0
apa aku yang kurang paham maksdnya ðŸ˜,1
dipotong sendri omongnyaðŸ˜,0
Dia siapa sih,1
Gak pemuja gak mulyono nya 11 12 lah,0
Ngomong apa lagi di darto helm,0
artinya Projo itu artinya Projo ðŸ˜‚,1
Projo itu artinya Pro judol ?,0
projo artinya negri dan rakyat....apa hubungannya satttðŸ˜­ðŸ˜­,0
dari awal sdh gak jelas ðŸ¤£,0
Si Budi Judol dompetnya udh tebel ðŸ˜‚,0
"maaaf saya orang awam, saya coba nyari arti negeri dan rakyat kok beda ya",1
bukan netizen atau media yang bilang anda gak loyal ... tapi anda sendiri .. jejak digital itu pahit,1
dari muka aja kelihatan,0
keknya lebih tepat pro judol dahðŸ˜’,0
dia pikir kita sebodoh pendukungnya!. ðŸ˜©,0
model sengkuni...ðŸ˜„,0
fungsi anda apa ya,0
mukanya gak ada enak2nya diliat ðŸ˜,0
affiliate wajib tinggalin jejak,1
aura judol mya kuat banget,0
gedabrus ðŸ˜‚,0
bang coba duet sama firdaus kyke cocok deh,0
memang aturan pertama dipolitik adalah tidak tau malu.,0
ketika anjing lagi milih tuan yg ingin mengadopsi nya,0
aku lihat dia kok kaya lihat kotaran saya yah. adakah yang sama?,0
Ahh ngeless mulu,1
Harus nya diganti PLONGO,1
info link gacor dong bos,1
Orang kaya begini ga usah di kasih panggung,0
"botak ngak ada rambut,,dia ngk ad otakðŸ¤£ðŸ¤£",0
hayo tebak mana lebih keras jidat budi ari apa batu bacan?,1
kalo tuan dan anjing bahasa lain nya apa??,0
"labi labi ,kadang di air kadang di laut",1
kebiasaan media yaa gini...ngasih panggung...makanya Konoha gak pernah maju..,1
fungsi nya projo itu apa sih,1
tempat para gembel cari pakan,0
umur segini nggak paham projoðŸ˜…,1
PROJO = pro jokowi,1
emg jokowi itu siapa???,1
koq nyanya ke saya..ðŸ¤£ðŸ¤£ðŸ¤£,0
"relawan juga manusia Prof. butuh makan dan butuh jabatan, mknya kami hrs terus menjilat.",0
bikin gaduh negri ini,0
bela jokowi lah bos,1
ngerecokin negara,0
kok bisa ya muka nya mirip2 petinggi2 nya apa ini suatu kebetulan...???,1
fungsinya bikin gaduh dan untuk menutupi bobroknya rezim 10 th yg lalu,1
buang sampah di kali angke dan bersihkan got got yg buntu namanya juga relawan,1
MENJILAT junjungn nya ðŸ˜… kalau gak NGENJILAT gak bisa makan ðŸ™ƒðŸ¤­,0
jaga jamban berak,0
untuk menggembor gembor kan tuan nya dan menjilat demi cuan,0
"promotor judi online,....ðŸ˜ðŸ˜",0
Ibu ini lrbih cerdas daripada para relawan,0
"ya iyalah di profesor ko,termul otaknya zonk",0
IBU INI MGOMONG APA ðŸ¤£,1
cerdas ibu Siti Zuhro ðŸ‘,1
ini Projo ngomong apa si,0
relawan itu baiknya kalo gak bubar dipidanakan saja karna bikin fitnah kisruh dengan buzer2nya,1
gimana mau bubar cari cuan nya dengan begitu,1
kalo dibubarkan dapurnya gak berasap bang,0
ini Jokowi punya dana tak terhingga untuk Tim relawan jadi uang nya entah dari mana dana politik Nya Hanya jaman Jokowi relawan berkelanjutan,0
"yang relawan Mulyono ,bayaran nya tetap berlanjut makanya mereka gak bubar",0
fredy ni orang indo apa bukan si,0
"orang yang berfikir sehat, beda dengan projo",0
kalau termul diskusi selalu memaksakan diri.,0
relawan hanya cari isi perut ke penguasa,1
para penjilat mulai.saling . cakaran.ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£,1
RELAWAN BERUBAH JADI ORMAS YA CUMA PROJO ðŸ¤£ðŸ¤£ðŸ¤£,0
"kalau mereka berhenti sebagai relawan, mereka ga ada pendapatan (duit) lagi Prof.",1
"nyari duitnya emang begitu Bu,,klo ga jadi relawan ntar pengangguran kan ijasahnya palsu",0
Itu relawan cari cuwan....ðŸ˜‚,1
betuuul prof,1
"ibu bicara panjang lebar itu nggk akan masuk sama Projo,",1
Semua Relawan harusnya otomatis bubar setelah Pemilu selesai seperti halnya Tim Sukses bukan malah dipelihara. Semua Tim Relawan Capres sudah bubar dengan sendirinya Kecuali Relawannya Jokowi tetap dipertahankan.,1
karena cari makannya dari situ,1
gak bakal ngerti Bu mreka di jelasin juga,0
relawan kalo di bubarin terus makan apa para relawan itu bu,1
ah sampai sekarang juga masih ada judol,0
bubarkan relawan,1
Damanik emang ga jelas cara ngomongnya serta jalan pikirannya. mungkin itu mulut belum pernah makan bangku sekolah ðŸ¤¦,0
dasar termul,1
membuat masyarakat terpecah belah,1
Percuma di.jelaskan prof termul mana faham yang ada di otaknya cuma bagaimana keluarga mereka bisa makan,1
relawan yang sering bikin gaduh hingga demokrasi kita melorot,1
kalau relawan bubar tar ga di bayar lagi...buuu,1
pikirkan ekonomi supaya rakyat sejahtera ... politik terus kapan neres nya ... pemilu udah usai mari kita pikirkan raktyat supaya sejahtera.,0
"bener ibu ini, yg namanya relawan, jurkam, tim pemenangan, timses, itu biasanya adanya di musim pemilu, ini pemilu sdh lewat masih aja ada projo. nanti dibilang cari panggung malah tersinggung, malah gak trima. ingat Kontestasi dan rivalitas sudah selesai !!! mari bersatu bangun negeri ini, jangan sibuk sendiri dengan organisasimu !!.",1
"andi azwan kocak,,justru karna jaman budi ari,judol dilindungi,makanya pas dia berhenti jadi mentri,banyak yang berhati hati,karna backinganya udah gak ada",1
elawan pengen jadi komisaris buðŸ™,0
relawan bayaran,0
ini bukan relawan lagi melainkan TERMUL namanya ðŸ˜ðŸ˜,0
Ibu Siti Zuhro memang cerdas tuuuh...... is the best ðŸ‘ðŸ‘,1
itu komplotan bukan relawan,1
Relawan apa kelompok penjilat?,0
relawan itu pundi nya cari uang aja,1
bubarkan Bunda.,1
hahahahahahahahaha kena deh hehehehe,1
karena relawan jaman Jokowi komonis itu menghidopkan komonis,0
"satu lagi ini hasil kerja jokowi, menurunkan demokerasi",0
sejak 2014 gaduh terus,1
"yang bahas seorang profesor,yang menghadiri mahasiswa. yang di bahas relawan projo relawan jokowi jokowi nya,,orang yg tidak berijazah/ijazah nya palsu.",0
sejak Jokowi jadi presiden lah ada relawan ada influencer dan piara buzzer ...pemecah belah anak bangsa ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,0
Ibu Prof Siti Z. debat dak kelasnya dengan orang projo .karena orang ini tidak berkualitas.,0
ngomong aja gak tertib para termul,1
"jangan komentar Bu, nanti dipenjarakan Bu, nanti di pikir lawan penguasa",1
relawan itu penjilat,0
Beda bet klo orang cerdas berbicara,1
relawan termul cari sembako,1
fredy salah yg penting ngeyel,0
fredy fredy dah lah pusing rakyat,1
plisss carilah pekerjaan dengan cara bermartabat!!!ðŸ™ðŸ™ðŸ™ðŸ™,1
relawan gak jelas cuma cari panggung,0
betul bu relawan itu komplotan atau gerombolan buat apa ada partai politik,1
relawan Jokowi itu pengangguran jadi pengangguran itu cari makan,0
"Judol berhenti setelah budi arie berhenti jdi menteri, logikanya judol itu berhenti karena gak ada lagi Backup dari Budi Arie jangan-janganðŸ˜‚",1
"ini baruu asli orang cerdas,tidak abal-abal bicara nya juga enak",1
relawan itu bantu orang banyak bantu orang2 susah bukan bantu perorang,1
relawan tapi gak rela ðŸ¥µ,0
"Susah ngomong sama termul, seolah-olah mereka pada paling bener, padahal semua orang berhak punya pemikiran! Gemes bgt gw liat mereka!",1
di media sosial di stasiun TV kapan ribut-ribut pasti relawan jokowi,0
ibu ini pinter cerdas..dr pada mulyono mulyonoðŸ¤£ðŸ¤£,1
cuma relawan jokowi yang gak mau bubar,1
ini baru ibu pejabat yg cerdas dn bijak.,1
"banyak yg cari makan bu, disitu ada lumbung makanan disitu semut berdatangan",1
Saking susahnya cari kerjaan,1
mantab bu dosen,1
relawan itu toxic,0
intinya relawan ingin mengadu domba rakyat dan yg utama mengalihkan isu dari semua kasus jokowi,1
relawan minta imbalan jasa,0
relawan dibuat kelanggengan kekuasaan,1
relawan itu ada berapa orang sihh?,1
Mereka bukan relawan tapi ketua dan dan wakil serta jajaran nya pengemis jabatan lalu pengikut nya pencari nasi bungkus,0
buat projo....terus lh menjilat...karna itu jalan usaha menapkahi keluarga nyaðŸ˜ðŸ˜ðŸ˜ðŸ˜,0
"Betul banget Bu, relawan itu hanya bikin gaduh",0
namanya ternak iya peliharaan kenapa dipelihara iya karena menguntungkan,1
Relawan itu pabrik yg memproduksi hoaks dan digaji dg bansos. Sumber dananya berasal hasil kumpulan para koruptor yg dikelola oleh Mulyono.,0
selama transfer nya jalan terus ya hajar terus...ðŸ˜…ðŸ˜‚,1
"dengan pemberian gelar pahlawan kepada pak Harto, akhirnya kita tahu siapa-siapa yang menolak dan itu menunjukkan jika mereka itu keturunan siapa. pada keluar dengan sendirinya kan yaaa... ðŸ˜‚ðŸ˜‚",1
satu lagi kak jadi kan tragedi 98 siapa dalang nya dan yang lengserin pak harto siapaðŸ¤­ diem nya pak harto selama nih di bayar tunai allah bukain semuanya,1
keturunan PKI,0
"kalau tidak ada pak soeharto, kita jadi negara komunis terbesar ke 2 di dunia",1
tau kan ribka tjiptaning siapa..?,1
Yang katanya bangga jadi anak pkiâ€¦ makanya benar kata pak harto pki 7 turunan jangan di kasih panggung pemerintahan.. dan ini lah kenyataanya paling pinter maling teriak maling ingat kan tahun 65,0
anak pki,0
2029 jgn ada yg pilih calon apapun dari PDI-P,1
"dari jawa tuh yang pilih, kalau dari sumatra udah tidak laku banteng",0
pak harto bukan pembunuh rakyat justru pak harto sangat sayang dengan rakyat,1
"pak Soeharto lah yang menghidupi rakyat dengan ilmu pengetahuan,,,âœ…ðŸ‘",1
"betul, bisa di liat dari anak sekolah jaman pak Harto sama anak sekolah jaman sekarang, dl kelas 6 SD aja sudah hapal ibukota negara-negara, pegangan rpul, rpal, 1 jam berapa menit aja tau, anak skrg? ðŸ˜­ðŸ˜­ðŸ˜­",0
" anak jaman dulu benar-benar pinter pake otak tidak pake google, kalkulator dan lain-lain kayak sekarang",1
Mega dan puan juga tangkap dan adili jangan lupa Ganjar pranowo,0
Ribka Tjiptaning wajar ngomong begitu krn...(telusuri riwayatnya),0
Ribka itu bangga jadi anak PKI....!!! pahamkan,1
HNYA. PRESIDEN SUHARTO YG KAMI RASAKAN KEHIDUPAN BERBANGSA DAN BERNEGARA SESUNGGUHNYA TIDAK ADA PERBEDAAN SUKU RAS AGAMA BHINNEKA TUNGGAL IKA BENAR BENAR DIRASAKAN ðŸ¥° ðŸ’ªðŸ»,1
kejahatan pak harto 8% kebaikan pak harto untuk negara Indonesia 90.2% saya rakyat jelata tapi sangat merasa nyaman waktu beliau jadi presidenðŸ¥°,1
Wajib di usut ngomong Seenaknya apalagi di Awal itu kasar sekali ngomong tak pakai Adab Pada Seseorang yang Jasanya cukup besar di akui Banyak orang di Negeri ini,1
kata almarhum ibuku enak jamanya almarhum bpk soeharto..ðŸ¥ºðŸ¥º,1
"aku juga ikut merasakan pas SD apa yg aku inginkan selalu dituruti sama ibu ðŸ¥° tiap lebaran selalu dibeliin gelang,anting..heee",1
INGAT GAIIS....!!! JANGAN PERNAH MEMILIH PARTAI PDI DLM PEMILIHAN UMUM BERIKUT NYA..,1
"pak Harto presiden terbaik, dari semua presiden indonesia.",1
Megawati juga.jadi presiden bukan pilihan rakyat.kudeta Gus Dur.indosat d jual aset negara yang d jual berapa banyak itu,0
Rakyat yang mana... buktinya saya sebagai rakyat masih makan nasi.. dijaman pak harto saya malah mudah cari pekerjaan.. dan diera megawati pembuat outsorsing sabagai rakyat kami merasakan susah dapat pekerjaan dan masadepan pun makin tidak jelas,1
saya sebagai rayat biasa sakit hati dengan ucapan si ciptaning sudah menebar fitnah pada suharto yang saya hormati,1
oalaahh.. pak ...pak.. klo boleh milih lebih baik RI jgn sampe dipimpin oleh Alm. Soeharto,0
"Mantaap biar kader PDIP, gak sewenang-wenang, meniru niru gaya bicara ketua umumnya si Nenek, Bpk Suharto itu tulus..Di akui atau tdk di hatiku Bpk Suharto tetaplah Pahlawan ðŸ‘â¤ï¸",1
