comment,sentiment
â€œga diundang premierâ€ la pikirmu ra butuh penonton a reng? ðŸ˜­ðŸ™ðŸ»,-1
kalo knetz nonton gmn ya? wkwk,1
MUKA ARIEL TATUM ðŸ˜­ðŸ«µðŸ»,1
"""pgn belajar sama karakter ini"" tp mau buat versi sendiri lah begimnaðŸ˜­ðŸ™",1
gosong amat mukanyaðŸ˜­,-1
Ariel tatum capek banget pastii ðŸ˜­ðŸ˜­ nyapuuu muluuu,1
maghrib bangetðŸ˜‚,-1
kok gelapnya lain gitu ya si abidzarðŸ˜­,-1
magrib banget,-1
siapa si yang pertama bilang abidzar ganteng? lu liat niðŸ˜­,-1
jefri nikol yg senga aja msh good attitude ðŸ¤£,1
ohh dia ga butuh penonton ternyata,-1
astagfirullah kang Taemo bukan kang parkir ðŸ™,-1
"So sorry, bru ngeh dia dibelakangðŸ™",1
Ga cuma magrib. Ini malah isyak bnget,1
"lagian siapa juga yang minat nonton, gue kan fanatikðŸ¤£ðŸ™",-1
Komuk ariel ama caitlin ga bisa bohongðŸ˜­,-1
mandi kata gua,-1
abidzar cocokny remake mahabarata,1
gayamu reng,-1
"pengen belajar karakter ini, tapi ga baca Webtoon ataupun nonton drama nyaðŸ˜­ Gimana mau belajar nya?ðŸ˜­ Disekolah atau apa aja kalau namanya belajar pasti butuh buku atau google buat referensiðŸ˜­",1
"Berasa banget ariel tatum enegggghh ðŸ˜­ saya juga mau muntah,kenapa cari peran cowok juga yang gelap banget ðŸ˜­",-1
tebak isi pikiran mbak aril,1
gada yg mau endors skincare kah?ðŸ˜­,-1
Ariel: geramnye aku,1
Kang tae mo kenapa jadi black mambaðŸ˜­,-1
perasaan dulu ga sedekil ini deh? abis ngapain dia,-1
aura nya ya ampunn,1
aura rohingya nya terlalu kuat,-1
Serius nanya ada yang mau nonton?,1
respect banget gaada yang ngeludahin,-1
bro pikir dia jefri nicholðŸ¤£,-1
Eh anjir gw nyari mana si abidzarnya ko ada suara doang taunya diatas arielðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­,-1
emang sih ga akan diundang tapi kan mereka yang nonton ðŸ˜­ðŸ«µðŸ»,-1
hati gua berisik bgt,1
"sebenernya ariel sm caitlin malu bgt dan deg2an parah itu, abidzar lu ko bisa sepede itu si ngomong sumpah",-1
ini kalau di korea bakalan gak jdi tayang sih...,1
ternyata di atas vadel ada abidzarðŸ˜­ðŸ˜­,-1
dua wanita sedang tertekan oleh perkataan kang blunderðŸ—¿ðŸ˜­,-1
bising banget magrib,-1
tebak isi pikiran ariel tatumðŸ¤£,1
keren banget ariel tatum nggak ngeludahin,-1
ini emg gelap? apa krna gk kena lighting?,-1
"Ya allah istigfar mulu gw kalo liat si abidzar ngomong anjirðŸ˜­ðŸ˜­ðŸ˜­, pdhl kmrin gak gini ðŸ—¿ðŸ¤£",-1
kaget ternyata seireng ituðŸ˜­,-1
"""gue pengen belajar sama karakter ini"" tapi lu gak nonton aslinya Abidzar..........
tapi lu gak nonton aslinya Abidzar..........",1
abidzar a nya apa,1
kak Ariel Tatum selalu smirk,1
abidzar magrib bgt jir ðŸ˜¹ðŸ˜¹,-1
cocok abidzar ganti Jefry nicol,-1
kaya mang becak si abidzarðŸ˜­,-1
"abidzar, mending lu mandi dulu dah kata gua mah",-1
"abidzar: ""anjay sepek bet gua sepek""",-1
bikin malu anjir si abidzar elah,-1
"abidzar sombong bgt jir bilang gtu,, tu film juga butuh penonton,tanpa penonton gk akan laku tu filmðŸ˜‚",-1
tukang parkir ðŸ˜­ðŸ˜­,-1
magrib bgt,-1
Pingin blajar karakter ini tapi gak mau nonton drama nya Terus karakter yang mana yang mau lu coba,1
"gayanya udah kaya aktor chungmuro,Ryu Jun Yeol juga kalah gaya nyaðŸ˜­ðŸ¤£ðŸ¤£ðŸ‘ŠðŸ»",1
â€œpengen belajar sama karakter iniâ€ tapi kemarin bilangnya mau bikin karakter versi diaðŸ˜­,1
"di depannya ada cewe cewe cantik, putih. dia kebanting banget malah kaya supirnya",-1
woila ga butuh penonton apa yaaðŸ˜Œ,-1
ariel : â€œaduhh pegel banget gendong tim muluâ€,1
capek bgt pasti tu ariel ðŸ¤£ðŸ¤£ðŸ¤£,1
beliau mengira dirinya tampan dan pemberani,-1
ini karena kamera atau apaa kok dark banget,-1
nino gmna kabarnya kok ga prnah keliatan,1
maap yaaa malah kayak Lina Mukherjee ngga siiðŸ˜­ðŸ™,-1
Wkkwkwkw savage balesan2 komen2 kamu kakðŸ˜‚ðŸ˜‚ðŸ˜‚,1
tinggl d LN bukny mkin cantik glowing laaa ini beda sndiri ðŸ¤£ agak laen ng,-1
Mungkin dia mengikuti standar cantik di negara sana,1
Aura peramalâ€™nya kuat bangetðŸ˜­,-1
"gak usah dengerin netizen indo, standar kecantikan di indo emang beda sama di luar",1
Ortunya sibuk ngurusin masalah orang lain sampek anaknya gak keurus,-1
miris bgt yg komen padahal sesama perempuan loh.. dimana letak women support women nyaa???.. sehat sehat deh kalianðŸ˜Œ,1
kek gerah banget liat nyaðŸ˜­,-1
"dia cantik banget, dan gak merubah apapun bentuk wajahnya â™¡
kalian yg komen negatif ngerti soal cantik natural gak? ini loh yang begini",1
Masih ke inget nino sekeluarga ngeprank lamar natasya wilonaðŸ¤£,1
"ðŸ¤£kalo di kampungku,pasti di ketawainðŸ˜‚",-1
hah komennya?! padahal cantik bgt njir ðŸ˜­,1
"cinta ajak gue ke sana , gue dah muak d indoðŸ˜­ðŸ™",1
"yang komen jelek pasti manusia2 yg menuntut dirinya harus sempurna, dituntut pasangan nya harus punya standar cantik indonesia juga. Cinta, congratulations kamu udah aman bgt di luar negeri ðŸ¥°",1
cinta maaf tapi lu kek dukun yg suka ramal pake kartu itu lohðŸ¥º,-1
kok jdi kek Lina Mukherjee ðŸ˜ŒðŸ˜Œ,-1
"melihat komen"" aku jadi ingat kata Namjoon BTS "" kita tidak jelek,kita hanya terlahir di masyarakat yg pintar menghakimi""
love your self cintaðŸ’œðŸ’Ÿ",1
"mukanya mirip mama nya, kulitnya warna bapak nyaðŸ™ˆðŸ™",-1
"perasaan dulu dia putih bening gitu deh, inget banget pas dulu dia sekeluarga di undang ke brownis pas dia disuruh dance karna di kpo-pers, sumpah cantik banget,putih bersih bening juga",-1
ini Fik yg sala orang tuanya...kok cinta Kuya jadi gini si..,-1
as always u look so pretty girls ðŸ˜,1
"ni komen pada kenapa si, padahal manis lo dia nya",-1
"di amerika dia wanita paling cantikðŸ¥°
setidaknya kamu benar hidup disana cin..
dari pada disini yang slalu memprioritaskan wanita cantik hanya yg berkulit putih ðŸ¥°ðŸ™",1
mungkin standar cantik nya disana kyak gini ðŸ˜Œ tapi plis cinta kalo balik ke indo jngan kyak gini ya. takut nanti nggk bisa bedain yang mana Lina Mukherjee ðŸ™ðŸ»,-1
"Bruh dia seengganya dia bisa kabur dri negara ini, artinya dia win. kalian ini knp dah julid bgtðŸ˜­",1
kalau cinta adalah fuji pasti di bilang magrib...,-1
"Kulit oke bgt , tp pakaiannya kya anak punkðŸ˜­",-1
YOU LOOK VERY BEAUTIFUL ðŸ˜­ðŸ’—,1
Cba ganti eyesedow nya jangan itu ðŸ™ðŸ»,-1
ky ema emakkkkðŸ˜,-1
padahal dia bnyak duit.,-1
"gw lebih suka standar kecantikan luar sna ya, kalo standar kecantikan indo tu dah kaya mau adu cantik sm bidadari, bikin muak apa2 patoknya ya gitulah. cantik versi diri sendiri itu lebih baikâ¤ï¸",1
"lama-kelamaaan makin mirip bapaknya ,",-1
"jangan baca komen cinta , indah kan hariharimu , krena kamu hidup bukan dari uang mereka jadi abaikan mereka yg berbicara apapun . karena kalo kamu bales komenan mreka, mreka makin seneng menghujat. Bawaa happy cinta ..",1
Aura dukun tarot ðŸ˜­,-1
coba rubah model rambut nya kaðŸ¥°,-1
"tapi aku liat selena gomez juga kayak setipe gitu cantiknya kaya gini,paham kan yaðŸ˜­jadi ini ga jelek tapi kalian emang ga nyangka aja kan klo dia cinta kuyaaa",1
PADA GATAU TAN SKIN APA JIRR CAKEP GINI DI BILANG APALAHH,1
aura mba2 pembaca tarot kuat bangtttðŸ˜­ðŸ™,-1
"d saat org berbindong""utk mnjdi putih,wanita ini dengan bangga nya dengan warna kulitnya..ini lah yg d sebut Bersyukurâ˜ºï¸",1
gaes glowing gak harus putih. cinta ini kek jenifer. lebih suka kulit tan. jadi bukan dia gak ngerawat diri. justru dia sengaja ngubah warna kulit biar eksotis,1
malah keliatan lbh mudaan emaknyaðŸ˜³,-1
Coba dehhhhh â€¦â€¦.Ke salon ?? ðŸ˜,-1
"plisss normalisasikann tan skin teman""ðŸ™ðŸ», semua kulit tuhh cakeppâœ¨",1
"maaf bgt,pertama liat tak pikir peramal/mbah dukun g nge klo uya kuya",-1
"Cantikkk bngttttðŸ¥°please jgn dengerin orang ngomong apa,kmu cantik dengan pilihan kamu sendiri,setiap",1
"Cantik cinta kuya, inilah sebenarnya kulit Indonesia woy, Tan skin banggalah kalian, tapi cinta kurangi baju terbuka nya yaa",1
"guys mf tapi dimataq ini cantik,
smp pangling, klo gak krn liat nama dan komennya aq gk tau ini Cinta Kuya",1
cewe kaya looks cinta ini di amrik sana emg jatuhnya cewe kece woii. beda ama kita,1
Cinta banyak yang bilang aku mirip kamu ðŸ˜­,1
Pdhl lebih cantik jdi diri sendiri,1
"kalo liat kak cinta aku percaya cantik itu gak harus putih,tapi gak cocok di kampungku,yg putih itu yg cantikðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­",1
pdhl cantikan dulu,-1
"dia gak mau putih guys pilihan dia sendri kok ,tanskin di luar negri kan mahal ðŸ¥°",1
"pengen deh kayak cinta,keluar negri +kerja disanaðŸ˜­",1
cinta sama amel carla awet muda bgt wkwk,1
tanpa oplas cantiknya alami....cinta cantik...ðŸ˜Ž,1
Cantikkk bangett tan skinðŸ¥°,1
Makeup zaman emak gw sih ini cinðŸ¥º,-1
aku jg lebih suka natural gini sehari hari dr pada dempulðŸ˜‚,1
dia itu cantik di negara bule sana,1
Mirip cinta anak nya uya kuya,1
"lahh kirian aku bukann cinta anknya uya kuyaa, cantikk bgttt",1
kulitnya bgus bangetttðŸ¥°,1
cantik banget ðŸ¥°ðŸ¥° vibes nya sdah kyak Amerika latin ðŸ¥°ðŸ¥°,1
"itu sesuai gaya di negara sana, memang kulit kaya gitu sesuai standar kecantikan negara sana, beda lagi kalo dia tinggal di Korea atau cina pasti gayanya sesuai negara situ juga, kayak nya dia fashionable",1
"maaf ya cinta di mata ku jadi kayak peramal,kayak mak2 tarot tu loh",-1
kalian yg ngomen kaya uda sempurna ajaðŸ˜Œ,1
ngbayangin teh astrid pas mudaðŸ˜,1
kamu cantik tanpa perlu validasi dari orang2 rese... ðŸ¥°,1
kulitnya idaman para buleâ˜ºï¸,1
tp trliat lbh tua dd umurnyaðŸ˜­,-1
tan skin disana cantik loh guys di indo mah beda lagi,1
tapi rambutnya plisðŸ˜­ mengurangi kecakepannya maap yaðŸ«µðŸ™,-1
"umurny berapa sih,maap keliatan tua",-1
demi apa pdhl dulu imut bgt kok sekarang?,-1
cinta lu knpeee cin? knape jadi begini,-1
mau kek manapun dia tuh bahagia dengan dirinya sendiri tau.... kalian punya tenaga bgt ngurusin hidup orang.. lah gw mau mandi aja magernya minta maap ðŸ¤£,1
kget njir liat cinta skrng kek gniðŸ˜­,-1
jadi kaya umur 35 an giniðŸ™‚ðŸ™‚ðŸ™‚,-1
cinta knpa malah kaya gini ðŸ˜”,-1
kulitnya bagus bgt deh,1
cantik banget loh kulitnya ðŸ˜­ walaupun ga putih tpi bersih mulusðŸ¥°,1
"kaya gini di hujat ? ini cantik bgt woyy kulitnyaaa ðŸ”¥ , heran bgt definisi cantik harus putih ðŸ˜’",1
lebih muda mamak dia di banding dia maaf haa cinta tapi emang iyaðŸ˜Œ,-1
Gw kira anaknya uya kuya,1
"hiraukan aja hujatannya kk
yg pentingg ilmuuu nyaaaðŸ‘",1
Tua,-1
Cinn cantik bangetttðŸ˜­,1
"komennya kejam2 bangetðŸ¥² emangnya cinta salah apa sih sama kalian guys?? cantik itu gak mesti sulam alis,pake eyelash,softlen,sulam bibir dllðŸ˜©",1
cantik bgt warna kulitnyaðŸ¥°,1
pas dewasa gini dia mirip mamanya banget,1
kacamata nya.. bikin tua,-1
"komennya pd knp si, emng dia harus begimane, idup idup dia ngapa pd ngatur dahðŸ˜­",1
disni cinta mirip banget sama mama astrid,1
"Standar kecantikan org , negara, selera itu beda beda jdi stop buat nuntut standar kecantikan seperti di ekspektasi kalean !",1
Cakep Manis loh .. please lahh nggak semua orang harus putih ya kulitnya .. tiap orang punya style nya masing2 ..,1
masya allah cantik&mandiriðŸ˜,1
kenapa hostnya tidak langsung memutar video lawasnya? jangan terlalu menjaga perasaan tamu yang di undang,1
kaum 58% gak bakal sadar,-1
apaalgi anak abah yang masih ngarep abahnya jadi presiden,-1
Kambuh lagi org ini,-1
ahhh termul ya tetep termul,1
bunglon...ðŸ¤”ðŸ¤”ðŸ¤”,-1
projo(negri dan rakyat) kocak2 jauh banget ngelak nyaðŸ¤£ðŸ¤£ðŸ¤£,1
"apa yg harus di percaya SMA bapak ini,kasih video lama,kata beliau waktu dl projo itu apa",1
"Betapa malangnya negara ini, kasi makan,fasilitas mewah ke orang macam ini..",-1
Tergantung siapa yg kasih makan,1
PROJO : NEGERI DAN RAKYAT ? Singkatan nyambungnya dmn?,1
mukanyaðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,-1
kalo dia bilang A berarti yg benar B,1
mntap pak ambil aja negeri ini buat pak projo,1
Dari mukanya aja sudah kelihatan ðŸ¤£,-1
kalo ngga ngeles ya bukan ternakðŸ˜‚,-1
mengganti logo berharap bisa masuk GerindraðŸ¤£ðŸ¤£ðŸ¤£,1
Ngabalin jilid 2ðŸ—¿,1
pak judi Arie lagi klarifikasiðŸ˜‚,-1
internet cepat kan,1
ini org terlalu banyak karisifikasi ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,-1
projudol,-1
Sengkuni,-1
kambuh lagi,-1
judol judol,-1
Meluruskan= membelokan ?ðŸ¤ª #pahamðŸ¤£,1
muncungnya,-1
ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£ cuci muka cuci tangan cuci apa lagi,-1
bahaya org ini,-1
"kata Mak aku , orang itu yg dipegang dipercaya omongan nya....yg keluar dari MULUT nya....ðŸ¤­ðŸ¤­ðŸ¤­",1
internet cepat buat apa,1
ke 20 minðŸ—¿,1
preett,1
orang apa ini guru,-1
intinya cari makan.. tak ada yg lain....,1
pro apa ini?,1
dia siapa?,1
tidak jauh jauh dari ajudannya ngibulnya,-1
Ngabalin versi 3 setelah Haikal hasan,-1
angkot jangan dengerinðŸ˜‚,-1
iya percaya ko ðŸ˜ŒðŸ˜Œ ðŸ—¿,1
baru tau arti yakult dikasih nyawaðŸ˜­,-1
sengkuni sengkuni,-1
yang penting perut kenyang,1
"projo, JOnya apa?",-1
jangan lupa kan jejak digital nya. Ruhut juga ini menempati diri pada penguasa. supaya tetap eksis ðŸ¤£,-1
gangsinggghh....muter2ðŸ¤£ðŸ˜‚,-1
nyari kerja skrg susah ðŸ˜…ðŸ˜…ðŸ˜…,1
kapan masuk pengadilan Pak budi?ðŸ˜,-1
tahun itu dia ngomong Projo pro Jokowi. knpa gak ditunjukin aja video nya biar dia kemakan fakta yg pernah di omongin. ?,1
"mepet pasti ada butuhnya.. jangan mau pak Prabowo disusupi org"" beginian",1
ngisng aja,-1
ya kali kejayaan selamanya bang ðŸ˜‚,-1
siapa ya loe,1
di lupa rekam jejaknya ðŸ¤£â˜ºï¸ðŸ¤£,-1
Yakin Projo dalam bahasa sansakerta negeri & rakyat ? coba cek geh di google translate ðŸ˜‚ðŸ˜‚ðŸ˜‚,1
ITU PRAJA BUKAN PROJO,1
Jadikan sekjen Gerindra...,-1
Projo itu pro Jokowi ðŸ˜€,-1
omongan gak bisa di pegang bahaya,1
dia yg ngomong dia yg bantah sama kaya junjungannya,-1
projo artinya negri dan rakyatðŸ˜­ðŸ˜‚,1
cari amannn....,1
garis lurus bersama pak jokowi gak kenal namanya budi ari,1
Budiiii Budi,-1
apa aku yang kurang paham maksdnya ðŸ˜,1
dipotong sendri omongnyaðŸ˜,-1
Dia siapa sih,1
Gak pemuja gak mulyono nya 11 12 lah,-1
Ngomong apa lagi di darto helm,-1
artinya Projo itu artinya Projo ðŸ˜‚,1
Projo itu artinya Pro judol ?,-1
projo artinya negri dan rakyat....apa hubungannya satttðŸ˜­ðŸ˜­,-1
dari awal sdh gak jelas ðŸ¤£,-1
Si Budi Judol dompetnya udh tebel ðŸ˜‚,-1
"maaaf saya orang awam, saya coba nyari arti negeri dan rakyat kok beda ya",1
bukan netizen atau media yang bilang anda gak loyal ... tapi anda sendiri .. jejak digital itu pahit,1
dari muka aja kelihatan,-1
keknya lebih tepat pro judol dahðŸ˜’,-1
dia pikir kita sebodoh pendukungnya!. ðŸ˜©,-1
model sengkuni...ðŸ˜„,-1
fungsi anda apa ya,-1
mukanya gak ada enak2nya diliat ðŸ˜,-1
affiliate wajib tinggalin jejak,1
aura judol mya kuat banget,-1
gedabrus ðŸ˜‚,-1
bang coba duet sama firdaus kyke cocok deh,-1
memang aturan pertama dipolitik adalah tidak tau malu.,-1
ketika anjing lagi milih tuan yg ingin mengadopsi nya,-1
aku lihat dia kok kaya lihat kotaran saya yah. adakah yang sama?,-1
Ahh ngeless mulu,1
Harus nya diganti PLONGO,1
info link gacor dong bos,1
Orang kaya begini ga usah di kasih panggung,-1
"botak ngak ada rambut,,dia ngk ad otakðŸ¤£ðŸ¤£",-1
hayo tebak mana lebih keras jidat budi ari apa batu bacan?,1
kalo tuan dan anjing bahasa lain nya apa??,-1
"labi labi ,kadang di air kadang di laut",1
kebiasaan media yaa gini...ngasih panggung...makanya Konoha gak pernah maju..,1
fungsi nya projo itu apa sih,1
tempat para gembel cari pakan,-1
umur segini nggak paham projoðŸ˜…,1
PROJO = pro jokowi,1
emg jokowi itu siapa???,1
koq nyanya ke saya..ðŸ¤£ðŸ¤£ðŸ¤£,-1
"relawan juga manusia Prof. butuh makan dan butuh jabatan, mknya kami hrs terus menjilat.",-1
bikin gaduh negri ini,-1
bela jokowi lah bos,1
ngerecokin negara,-1
kok bisa ya muka nya mirip2 petinggi2 nya apa ini suatu kebetulan...???,1
fungsinya bikin gaduh dan untuk menutupi bobroknya rezim 10 th yg lalu,1
buang sampah di kali angke dan bersihkan got got yg buntu namanya juga relawan,1
MENJILAT junjungn nya ðŸ˜… kalau gak NGENJILAT gak bisa makan ðŸ™ƒðŸ¤­,-1
jaga jamban berak,-1
untuk menggembor gembor kan tuan nya dan menjilat demi cuan,-1
"promotor judi online,....ðŸ˜ðŸ˜",-1
Ibu ini lrbih cerdas daripada para relawan,-1
"ya iyalah di profesor ko,termul otaknya zonk",-1
IBU INI MGOMONG APA ðŸ¤£,1
cerdas ibu Siti Zuhro ðŸ‘,1
ini Projo ngomong apa si,-1
relawan itu baiknya kalo gak bubar dipidanakan saja karna bikin fitnah kisruh dengan buzer2nya,1
gimana mau bubar cari cuan nya dengan begitu,1
kalo dibubarkan dapurnya gak berasap bang,-1
ini Jokowi punya dana tak terhingga untuk Tim relawan jadi uang nya entah dari mana dana politik Nya Hanya jaman Jokowi relawan berkelanjutan,-1
"yang relawan Mulyono ,bayaran nya tetap berlanjut makanya mereka gak bubar",-1
fredy ni orang indo apa bukan si,-1
"orang yang berfikir sehat, beda dengan projo",-1
kalau termul diskusi selalu memaksakan diri.,-1
relawan hanya cari isi perut ke penguasa,1
para penjilat mulai.saling . cakaran.ðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£,1
RELAWAN BERUBAH JADI ORMAS YA CUMA PROJO ðŸ¤£ðŸ¤£ðŸ¤£,-1
"kalau mereka berhenti sebagai relawan, mereka ga ada pendapatan (duit) lagi Prof.",1
"nyari duitnya emang begitu Bu,,klo ga jadi relawan ntar pengangguran kan ijasahnya palsu",-1
Itu relawan cari cuwan....ðŸ˜‚,1
betuuul prof,1
"ibu bicara panjang lebar itu nggk akan masuk sama Projo,",1
Semua Relawan harusnya otomatis bubar setelah Pemilu selesai seperti halnya Tim Sukses bukan malah dipelihara. Semua Tim Relawan Capres sudah bubar dengan sendirinya Kecuali Relawannya Jokowi tetap dipertahankan.,1
karena cari makannya dari situ,1
gak bakal ngerti Bu mreka di jelasin juga,-1
relawan kalo di bubarin terus makan apa para relawan itu bu,1
ah sampai sekarang juga masih ada judol,-1
bubarkan relawan,1
Damanik emang ga jelas cara ngomongnya serta jalan pikirannya. mungkin itu mulut belum pernah makan bangku sekolah ðŸ¤¦,-1
dasar termul,1
membuat masyarakat terpecah belah,1
Percuma di.jelaskan prof termul mana faham yang ada di otaknya cuma bagaimana keluarga mereka bisa makan,1
relawan yang sering bikin gaduh hingga demokrasi kita melorot,1
kalau relawan bubar tar ga di bayar lagi...buuu,1
pikirkan ekonomi supaya rakyat sejahtera ... politik terus kapan neres nya ... pemilu udah usai mari kita pikirkan raktyat supaya sejahtera.,-1
"bener ibu ini, yg namanya relawan, jurkam, tim pemenangan, timses, itu biasanya adanya di musim pemilu, ini pemilu sdh lewat masih aja ada projo. nanti dibilang cari panggung malah tersinggung, malah gak trima. ingat Kontestasi dan rivalitas sudah selesai !!! mari bersatu bangun negeri ini, jangan sibuk sendiri dengan organisasimu !!.",1
"andi azwan kocak,,justru karna jaman budi ari,judol dilindungi,makanya pas dia berhenti jadi mentri,banyak yang berhati hati,karna backinganya udah gak ada",1
elawan pengen jadi komisaris buðŸ™,-1
relawan bayaran,-1
ini bukan relawan lagi melainkan TERMUL namanya ðŸ˜ðŸ˜,-1
Ibu Siti Zuhro memang cerdas tuuuh...... is the best ðŸ‘ðŸ‘,1
itu komplotan bukan relawan,1
Relawan apa kelompok penjilat?,-1
relawan itu pundi nya cari uang aja,1
bubarkan Bunda.,1
hahahahahahahahaha kena deh hehehehe,1
karena relawan jaman Jokowi komonis itu menghidopkan komonis,-1
"satu lagi ini hasil kerja jokowi, menurunkan demokerasi",-1
sejak 2014 gaduh terus,1
"yang bahas seorang profesor,yang menghadiri mahasiswa. yang di bahas relawan projo relawan jokowi jokowi nya,,orang yg tidak berijazah/ijazah nya palsu.",-1
sejak Jokowi jadi presiden lah ada relawan ada influencer dan piara buzzer ...pemecah belah anak bangsa ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,-1
Ibu Prof Siti Z. debat dak kelasnya dengan orang projo .karena orang ini tidak berkualitas.,-1
ngomong aja gak tertib para termul,1
"jangan komentar Bu, nanti dipenjarakan Bu, nanti di pikir lawan penguasa",1
relawan itu penjilat,-1
Beda bet klo orang cerdas berbicara,1
relawan termul cari sembako,1
fredy salah yg penting ngeyel,-1
fredy fredy dah lah pusing rakyat,1
plisss carilah pekerjaan dengan cara bermartabat!!!ðŸ™ðŸ™ðŸ™ðŸ™,1
relawan gak jelas cuma cari panggung,-1
betul bu relawan itu komplotan atau gerombolan buat apa ada partai politik,1
relawan Jokowi itu pengangguran jadi pengangguran itu cari makan,-1
"Judol berhenti setelah budi arie berhenti jdi menteri, logikanya judol itu berhenti karena gak ada lagi Backup dari Budi Arie jangan-janganðŸ˜‚",1
"ini baruu asli orang cerdas,tidak abal-abal bicara nya juga enak",1
relawan itu bantu orang banyak bantu orang2 susah bukan bantu perorang,1
relawan tapi gak rela ðŸ¥µ,-1
"Susah ngomong sama termul, seolah-olah mereka pada paling bener, padahal semua orang berhak punya pemikiran! Gemes bgt gw liat mereka!",1
di media sosial di stasiun TV kapan ribut-ribut pasti relawan jokowi,-1
ibu ini pinter cerdas..dr pada mulyono mulyonoðŸ¤£ðŸ¤£,1
cuma relawan jokowi yang gak mau bubar,1
ini baru ibu pejabat yg cerdas dn bijak.,1
"banyak yg cari makan bu, disitu ada lumbung makanan disitu semut berdatangan",1
Saking susahnya cari kerjaan,1
mantab bu dosen,1
relawan itu toxic,-1
intinya relawan ingin mengadu domba rakyat dan yg utama mengalihkan isu dari semua kasus jokowi,1
relawan minta imbalan jasa,-1
relawan dibuat kelanggengan kekuasaan,1
relawan itu ada berapa orang sihh?,1
Mereka bukan relawan tapi ketua dan dan wakil serta jajaran nya pengemis jabatan lalu pengikut nya pencari nasi bungkus,-1
buat projo....terus lh menjilat...karna itu jalan usaha menapkahi keluarga nyaðŸ˜ðŸ˜ðŸ˜ðŸ˜,-1
"Betul banget Bu, relawan itu hanya bikin gaduh",-1
namanya ternak iya peliharaan kenapa dipelihara iya karena menguntungkan,1
Relawan itu pabrik yg memproduksi hoaks dan digaji dg bansos. Sumber dananya berasal hasil kumpulan para koruptor yg dikelola oleh Mulyono.,-1
selama transfer nya jalan terus ya hajar terus...ðŸ˜…ðŸ˜‚,1
"dengan pemberian gelar pahlawan kepada pak Harto, akhirnya kita tahu siapa-siapa yang menolak dan itu menunjukkan jika mereka itu keturunan siapa. pada keluar dengan sendirinya kan yaaa... ðŸ˜‚ðŸ˜‚",1
satu lagi kak jadi kan tragedi 98 siapa dalang nya dan yang lengserin pak harto siapaðŸ¤­ diem nya pak harto selama nih di bayar tunai allah bukain semuanya,1
keturunan PKI,-1
"kalau tidak ada pak soeharto, kita jadi negara komunis terbesar ke 2 di dunia",1
tau kan ribka tjiptaning siapa..?,1
Yang katanya bangga jadi anak pkiâ€¦ makanya benar kata pak harto pki 7 turunan jangan di kasih panggung pemerintahan.. dan ini lah kenyataanya paling pinter maling teriak maling ingat kan tahun 65,-1
anak pki,-1
2029 jgn ada yg pilih calon apapun dari PDI-P,1
"dari jawa tuh yang pilih, kalau dari sumatra udah tidak laku banteng",-1
pak harto bukan pembunuh rakyat justru pak harto sangat sayang dengan rakyat,1
"pak Soeharto lah yang menghidupi rakyat dengan ilmu pengetahuan,,,âœ…ðŸ‘",1
"betul, bisa di liat dari anak sekolah jaman pak Harto sama anak sekolah jaman sekarang, dl kelas 6 SD aja sudah hapal ibukota negara-negara, pegangan rpul, rpal, 1 jam berapa menit aja tau, anak skrg? ðŸ˜­ðŸ˜­ðŸ˜­",-1
" anak jaman dulu benar-benar pinter pake otak tidak pake google, kalkulator dan lain-lain kayak sekarang",1
Mega dan puan juga tangkap dan adili jangan lupa Ganjar pranowo,-1
Ribka Tjiptaning wajar ngomong begitu krn...(telusuri riwayatnya),-1
Ribka itu bangga jadi anak PKI....!!! pahamkan,1
HNYA. PRESIDEN SUHARTO YG KAMI RASAKAN KEHIDUPAN BERBANGSA DAN BERNEGARA SESUNGGUHNYA TIDAK ADA PERBEDAAN SUKU RAS AGAMA BHINNEKA TUNGGAL IKA BENAR BENAR DIRASAKAN ðŸ¥° ðŸ’ªðŸ»,1
kejahatan pak harto 8% kebaikan pak harto untuk negara Indonesia 90.2% saya rakyat jelata tapi sangat merasa nyaman waktu beliau jadi presidenðŸ¥°,1
Wajib di usut ngomong Seenaknya apalagi di Awal itu kasar sekali ngomong tak pakai Adab Pada Seseorang yang Jasanya cukup besar di akui Banyak orang di Negeri ini,1
kata almarhum ibuku enak jamanya almarhum bpk soeharto..ðŸ¥ºðŸ¥º,1
"aku juga ikut merasakan pas SD apa yg aku inginkan selalu dituruti sama ibu ðŸ¥° tiap lebaran selalu dibeliin gelang,anting..heee",1
INGAT GAIIS....!!! JANGAN PERNAH MEMILIH PARTAI PDI DLM PEMILIHAN UMUM BERIKUT NYA..,1
"pak Harto presiden terbaik, dari semua presiden indonesia.",1
Megawati juga.jadi presiden bukan pilihan rakyat.kudeta Gus Dur.indosat d jual aset negara yang d jual berapa banyak itu,-1
